trace,n_raw,n_removed,n_kept,removed_request_ids
trial-001,26,4,22,649f0728-f3db-4fe8-ad78-3fee780a3e63; f54ae09b-d1f6-4a1f-bbe8-ad53bbce7b8b; 28132d68-9c98-4f69-8d9a-7bf217a2f6fd; a1e3098d-41a4-492e-8e92-dc5966f423cc
trial-002,22,3,19,e1c621d1-8532-4a8b-b1b4-599d98116723; d593d480-0c5d-49f3-820f-150990828146; 48e0f549-b97c-4906-87c6-7b0e064a9e03
trial-003,49,1,48,daf84d77-56a7-4ac0-9ca5-4c975e07a2d9
trial-004,25,0,25,
trial-005,24,1,23,b89a0c15-59c9-4793-99b8-7301810376f9
trial-006,26,1,25,178c8c1c-572f-417c-bfc6-fd3678a36bf4
trial-007,42,1,41,6bb3fbce-6d6d-4021-8768-e5fc174d4f1c
trial-008,30,1,29,9536c1ea-cbaf-4166-b67f-e0d0189d5254
trial-009,26,1,25,8f966d36-5107-4a9e-afda-e0f84f7a4cd0
trial-010,29,1,28,6dd82fed-c636-433a-92c5-5e555598d4a3
trial-011,22,0,22,
trial-012,29,0,29,
trial-013,28,0,28,
trial-014,26,0,26,
trial-015,2,0,2,
trial-016,27,2,25,fdecc8d7-eee4-4900-90d9-f6649ada289f; 4f06a157-99e4-4c9e-88f2-f56827f6fe7a
trial-017,27,0,27,
trial-018,23,0,23,
trial-019,28,2,26,98dab9c8-8d03-4da0-9e49-3e7008134243; 25f8a06b-e42f-4c06-ac13-94c9a63a9f10
trial-020,30,0,30,
trial-021,30,0,30,
trial-022,31,0,31,
trial-023,28,0,28,
trial-024,26,0,26,
trial-025,27,0,27,
trial-026,23,0,23,
trial-027,26,0,26,
trial-028,27,0,27,
trial-029,29,1,28,abc5b0b9-5ec1-4796-92af-8bbddd1fb0c1
trial-030,26,1,25,ac09dcdf-d325-4f39-af0b-088341ce1c7d
