trace,request_id,timestamp,method,path,protocol,req_type,header_order_str,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_user,sf_combo,ch_ua,ch_mobile,ch_platform,ch_is_headless,ch_brand_count,ua,ua_family,ua_os,ua_version,priority,accept,accept_encoding,referer,origin,content_type,upgrade_insecure,has_accept,has_accept_encoding,has_accept_language,has_user_agent,has_sec_ch_ua,has_sec_ch_ua_mobile,has_sec_ch_ua_platform,has_sec_fetch_mode,has_sec_fetch_dest,has_sec_fetch_site,has_sec_fetch_user,has_priority,has_upgrade_insecure_requests,has_referer,has_origin,has_content_type,has_content_length,has_cache_control,has_connection,has_te,has_dnt,sf_sf_known_combo,sf_sf_site_valid,sf_sf_user_correct,sf_sf_nav_has_user,sf_sf_no_user_on_non_nav,sf_sf_cors_dest_empty,sf_sf_any_violation,ch_brand_matches_ua,ch_version_near_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,priority_raw,priority_urgency,priority_incr,priority_expected
trial-001,ba126175-61f3-4bdc-b15b-b29a23046abb,2026-04-19 06:17:15.604622824+00:00,GET,/subscribe-v1.html,HTTP/2.0,navigate,"Sec-Fetch-Mode,Sec-Fetch-Dest,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests,Accept,Sec-Fetch-Site,Sec-Fetch-User,Accept-Encoding,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Platform,User-Agent",a6aceb2a66866002,12,navigate,document,none,?1,navigate|document|none,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
trial-001,eb7a9564-4ebf-4c83-9e95-136366516d34,2026-04-19 06:17:15.642021845+00:00,GET,/logger.js,HTTP/2.0,subresource:script,"Sec-Ch-Ua,Sec-Ch-Ua-Mobile,User-Agent,Sec-Fetch-Site,Referer,Accept-Encoding,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Mode,Sec-Fetch-Dest,Priority",aa601251bc73a15e,11,no-cors,script,same-origin,,no-cors|script|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,u=1,*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,u=1,1.0,False,True
trial-001,1fcf0eb9-58b8-496f-ad3f-1541fe22755d,2026-04-19 06:18:06.910366260+00:00,GET,/subscribe-v2.html,HTTP/2.0,navigate,"Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,User-Agent,Accept,Sec-Fetch-Site,Sec-Fetch-User,Sec-Fetch-Dest,Accept-Encoding,Sec-Ch-Ua,Upgrade-Insecure-Requests,Sec-Fetch-Mode,Priority",70d0cea720323e73,12,navigate,document,none,?1,navigate|document|none,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
trial-001,6a0ca350-7b84-4424-8491-e9db68ed0cf1,2026-04-19 06:18:06.938554592+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Sec-Fetch-Dest,Referer,Accept-Encoding,Sec-Ch-Ua,Content-Type,Sec-Ch-Ua-Mobile,User-Agent,Sec-Ch-Ua-Platform,Priority,Content-Length,Accept,Origin,Sec-Fetch-Site,Sec-Fetch-Mode",9d052d31619c416d,14,cors,empty,same-origin,,cors|empty|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,https://uxbehaviorsuite.com,application/json,,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=4, i",4.0,True,True
trial-001,12c2a57f-e01a-49fb-abc2-20d9eb98da6a,2026-04-19 06:18:06.938878011+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Priority,Content-Length,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,User-Agent,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Site,Accept-Encoding,Content-Type,Origin,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer",ae49b63573e6af6e,14,cors,empty,same-origin,,cors|empty|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,https://uxbehaviorsuite.com,application/json,,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=4, i",4.0,True,True
trial-001,2a1d4dea-a884-4740-bc05-1edcd2019984,2026-04-19 06:19:16.065732609+00:00,GET,/subscribe-v3.html,HTTP/2.0,navigate,"Upgrade-Insecure-Requests,User-Agent,Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-User,Sec-Fetch-Dest,Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Accept,Referer,Accept-Encoding,Priority,Sec-Ch-Ua",758a9be11a186d79,13,navigate,document,same-origin,?1,navigate|document|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,,,1,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
trial-001,415d57af-acc5-4c65-9eba-abfb84e15ea1,2026-04-19 06:19:16.065852305+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Content-Type,Sec-Ch-Ua-Mobile,Accept,Sec-Fetch-Dest,Priority,Content-Length,User-Agent,Sec-Ch-Ua-Platform,Origin,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Accept-Encoding,Sec-Ch-Ua",4b0c7331908a0cc1,14,cors,empty,same-origin,,cors|empty|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,https://uxbehaviorsuite.com,application/json,,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=4, i",4.0,True,True
trial-001,9c9fa9ca-2cb5-423d-8c4b-28407b3678fa,2026-04-19 06:19:16.091433395+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Sec-Ch-Ua-Mobile,User-Agent,Sec-Fetch-Site,Sec-Fetch-Dest,Priority,Content-Length,Sec-Ch-Ua,Sec-Ch-Ua-Platform,Accept,Origin,Sec-Fetch-Mode,Referer,Accept-Encoding,Content-Type",07cbf56e818b8397,14,cors,empty,same-origin,,cors|empty|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,https://uxbehaviorsuite.com,application/json,,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=4, i",4.0,True,True
trial-001,f24d7b46-9dc5-440f-817f-ea19072b3220,2026-04-19 06:19:16.093310284+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Origin,Sec-Fetch-Site,Priority,Sec-Ch-Ua,User-Agent,Accept,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer,Accept-Encoding,Content-Length,Content-Type",ea3a6cc0c82ce8f5,14,cors,empty,same-origin,,cors|empty|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,https://uxbehaviorsuite.com,application/json,,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=4, i",4.0,True,True
trial-001,3624ec32-edf8-41d3-8113-6e9d5c5c41a9,2026-04-19 06:20:15.296109862+00:00,GET,/s2-scroll-gate.html,HTTP/2.0,navigate,"User-Agent,Accept,Sec-Fetch-Site,Sec-Fetch-User,Sec-Fetch-Dest,Sec-Ch-Ua,Sec-Fetch-Mode,Referer,Accept-Encoding,Priority,Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests",ab5a718fa9e9d3cd,13,navigate,document,same-origin,?1,navigate|document|same-origin,"""Chromium"";v=""128"", ""Not;A=Brand"";v=""24"", ""HeadlessChrome"";v=""128""",?0,"""Windows""",True,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",edge,windows,122,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v3.html,,,1,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
