trace,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_combo,sf_known_combo,sf_any_violation,ch_is_headless,ch_brand_count,ch_brand_matches_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,ua_family,ua_os,ua_version,priority_urgency,priority_incr,priority_expected,accept,accept_encoding,upgrade_insecure,has_priority,has_sec_ch_ua,has_sec_fetch_mode,has_upgrade_insecure_requests
trial-001,07cbf56e818b8397,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-002,059742fb90245708,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-003,7b48d524085638dd,5,,,,||,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8","gzip, deflate, br, zstd",,True,True,True,False
trial-004,28c3d7e28da17875,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-005,1ad2ce5ab240a902,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-006,0480f5b3a263107e,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-007,7b48d524085638dd,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-008,10328099cefebbd7,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-009,0129eff37e785317,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-010,08bdd6b1cda5546f,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-011,0597ec22c51ec645,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-012,8a0038318df387f8,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-013,003709feb33c4ac7,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-014,13e3da4332532ae9,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-015,84106bace94ea831,11,navigate,document,none,navigate|document|none,,,True,3,True,True,True,True,edge,windows,122,0.0,False,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-016,04d317a3c7ac6720,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-017,070373d5a33e2e49,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-018,0df6d08c70623a91,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-019,14638ac2bd2abfb3,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-020,066d0df6758bcbad,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-021,8a0038318df387f8,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-022,c7729977cc3ba845,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-023,08a2b94443019493,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-024,15c2a6ef5f62a593,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-025,0cac2779cc9b51f5,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-026,089a2ff1abdbbd4f,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-027,06103cd14118a692,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-028,0832ef5afcdad685,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-029,10328099cefebbd7,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-030,0f5630364b6749e7,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
