field,n_distinct,modal_value,stability,entropy
header_order_hash,27,7b48d524085638dd,0.06666666666666667,4.706890595569567
priority_urgency,3,4.0,0.6666666666666666,1.074627698579922
sf_mode,3,cors,0.9333333333333333,0.4200260016837599
sf_dest,3,empty,0.9333333333333333,0.4200260016837599
sf_site,3,same-origin,0.9333333333333333,0.4200260016837599
sf_combo,3,cors|empty|same-origin,0.9333333333333333,0.4200260016837599
n_headers,3,14,0.9333333333333333,0.4200260016837599
accept,2,*/*,0.9666666666666667,0.21084230031564677
priority_incr,2,True,0.9666666666666667,0.21084230031564677
has_sec_fetch_mode,1,True,1.0,-1.4428232973175175e-12
has_sec_ch_ua,1,True,1.0,-1.4428232973175175e-12
has_priority,1,True,1.0,-1.4428232973175175e-12
upgrade_insecure,1,,1.0,-1.4428232973175175e-12
accept_encoding,1,"gzip, deflate, br, zstd",1.0,-1.4428232973175175e-12
priority_expected,1,True,1.0,-1.4428232973175175e-12
ua_family,1,edge,1.0,-1.4428232973175175e-12
ua_version,1,122,1.0,-1.4428232973175175e-12
ua_os,1,windows,1.0,-1.4428232973175175e-12
ch_any_incoherence,1,True,1.0,-1.4428232973175175e-12
ch_platform_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_mobile_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_brand_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_brand_count,1,3,1.0,-1.4428232973175175e-12
ch_is_headless,1,True,1.0,-1.4428232973175175e-12
has_upgrade_insecure_requests,1,False,1.0,-1.4428232973175175e-12
