trace,n_events,n_pages,duration_s,event_rate_hz,n_flushes,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,iei_mean_ms,iei_median_ms,iei_std_ms
trial-001,98,6,408.2209001464844,0.2400661013799981,18,7,3,9,1,18,4208.462888108086,1.10009765625,9928.286862572779
trial-002,70,4,305.91139990234376,0.22882442439982992,12,5,2,7,0,13,4433.49854930933,1.099853515625,10013.099934015097
trial-003,78,6,416.6889001464844,0.1871900114751787,18,3,5,5,0,19,5411.54415774655,4.400146484375,10809.488317146242
trial-004,72,5,334.63930004882815,0.21515703621629104,15,5,2,7,0,13,4713.229578152509,1.300048828125,9783.0428747832
trial-005,62,5,342.57719995117185,0.18098110443087564,15,4,2,5,0,11,5616.019671330687,1.400146484375,11781.602300233846
trial-006,84,6,387.8677998046875,0.21656863509241697,18,5,3,7,0,18,4673.106021743223,1.5,9806.762089585749
trial-007,92,6,457.94030004882814,0.2008995495486867,18,6,4,8,1,19,5032.310989547562,1.300048828125,10161.8817330186
trial-008,95,6,399.51410009765624,0.23778885395228463,18,7,3,9,0,19,4250.150001038896,1.3499755859375,9016.735860146957
trial-009,82,6,374.1455,0.21916607309188535,18,6,2,8,0,15,4619.080246913581,1.10009765625,9807.509664540203
trial-010,76,5,409.99410009765626,0.18536852111261504,15,6,2,8,0,13,5466.588001302083,1.300048828125,11101.62359574866
trial-011,85,6,465.8685,0.18245492021890297,16,7,2,9,0,16,5546.053571428572,3.14990234375,11840.911874545931
trial-012,108,7,575.1770998535156,0.18776825438200706,19,11,1,13,1,18,5375.486914518838,1.400146484375,11338.957986324838
trial-013,105,7,562.4293999023438,0.18669009838075934,19,8,4,10,1,18,5407.974999060998,1.64990234375,12151.319625424561
trial-014,97,7,419.2987998046875,0.2313386063713593,19,6,3,8,0,22,4367.695831298828,2.10009765625,9656.866074475696
trial-015,2,1,31.9562998046875,0.0625854686626338,1,0,0,0,0,0,31956.2998046875,31956.2998046875,
trial-016,106,7,756.3381999511719,0.14014894396031194,19,8,5,10,1,21,7203.220951915922,2.099853515625,14532.915695228163
trial-017,96,7,475.78509985351565,0.20177176634904373,19,6,3,8,1,20,5008.264208984375,1.400146484375,10824.384927878136
trial-018,83,6,462.0681999511719,0.17962716328189401,16,7,2,9,1,14,5634.978048185023,1.9000244140625,11464.338829684952
trial-019,77,7,479.6893999023437,0.1605205368633867,19,6,1,8,0,12,6311.702630293997,4.75,13378.572460973854
trial-020,91,7,504.31030004882814,0.1804444604664811,19,7,3,9,0,16,5603.447778320313,1.949951171875,11629.097410358447
trial-021,86,7,504.29310009765624,0.17053574594486048,19,4,5,6,0,19,5932.860001148897,5.199951171875,12003.640064516403
trial-022,80,7,1695.847199951172,0.047174061438025446,19,7,1,9,1,12,21466.42025254648,10.89990234375,137848.51413531083
trial-023,104,7,808.2023000488281,0.1286806533385475,19,8,3,10,1,22,7846.62427231872,2.5,16860.775640239874
trial-024,99,7,519.7023999023437,0.19049363639383404,19,6,3,8,1,23,5303.0857132892215,2.0,11128.27210592522
trial-025,90,7,683.6321999511719,0.1316497379825412,19,7,2,9,1,16,7681.260673608673,2.2001953125,15748.2052430855
trial-026,58,6,339.99840014648436,0.1705890379925652,16,2,2,4,1,13,5964.8842130962175,12.2998046875,11301.573956038665
trial-027,68,7,345.6217998046875,0.19674684883426657,19,2,3,4,0,16,5158.534325443097,12.099853515625,10485.40504500876
trial-028,92,7,539.6921999511719,0.17046753688180707,19,6,3,7,0,21,5930.683515946944,1.900146484375,13436.942748067566
trial-029,94,7,585.821,0.1604585701092996,19,8,2,10,0,16,6299.1505376344085,1.800048828125,13477.93377967771
trial-030,88,7,512.4877998046875,0.1717114047076582,19,5,4,7,0,20,5890.6643655711205,3.800048828125,12082.037594682784
