trace,n_requests,n_pages,n_collect_posts,duration_s,req_rate_hz,iri_mean_ms,iri_median_ms,iri_std_ms,proc_mean_ms,proc_max_ms,page_dwell_mean_s,page_dwell_max_s
trial-001,22,7,14,408.52687,0.05385202691808253,19453.660476190475,25.581,32495.143680984023,0.4142272727272728,2.248,68.0825255,88.968944
trial-002,19,5,9,306.244815,0.06204186673331922,17013.60083333333,29.4035,26537.872471267216,0.48152631578947364,2.221,76.5549785,100.703224
trial-003,48,7,17,416.989155,0.11511090738079267,8872.109680851065,1172.329,22833.42378889434,0.3036666666666667,1.017,69.49396066666667,109.284565
trial-004,25,6,15,334.926036,0.07464334603118164,13955.2515,22.4195,25867.967099198166,0.4058,0.888,66.9801008,85.845434
trial-005,23,6,14,391.219887,0.05879046736701296,17782.722136363634,23.597,28566.0441894208,0.40926086956521734,1.142,68.56972379999999,73.798274
trial-006,25,7,17,388.13254,0.06441098703035823,16172.189166666669,20.676000000000002,29336.813122765063,0.42351999999999995,1.569,64.68433166666667,78.927501
trial-007,41,7,17,474.795178,0.08635302526176877,11869.879449999999,1061.5285,23021.936346610524,0.3178048780487805,0.989,76.36616266666665,90.699756
trial-008,29,7,17,419.436557,0.0691403729980551,14979.877035714288,22.637999999999998,24777.17690985031,0.3833793103448276,1.069,66.61894516666666,90.618186
trial-009,25,7,17,374.471878,0.0667606874340508,15602.994916666668,21.110500000000002,28110.125249383538,0.4408000000000001,1.125,62.40807083333334,78.494067
trial-010,28,6,14,410.285599,0.06824514452431464,15195.762925925928,24.693,25495.00223433892,0.3848928571428571,1.023,82.0518324,108.954911
trial-011,22,6,15,396.960195,0.05542117390384696,18902.866428571426,17.928,35825.838687102274,0.4562727272727273,1.302,79.38752240000001,112.557582
trial-012,29,7,18,500.359077,0.057958376959752846,17869.967035714282,21.2925,34287.58898697125,0.5226206896551724,1.979,83.38918166666666,96.62145
trial-013,28,7,18,503.218855,0.05564179426464455,18637.73537037037,22.686999999999998,35447.64767771745,0.43985714285714284,1.587,83.86557566666666,96.924007
trial-014,26,7,18,356.645717,0.07290147830374759,14265.82868,20.159,26396.796713223768,0.4677692307692309,1.352,59.43703933333334,81.092361
trial-015,2,1,0,0.031764,62.96436217101121,31.764,31.764,,0.35650000000000004,0.394,,
trial-016,25,7,16,661.734304,0.037779513392130266,27572.262666666666,22.165999999999997,46575.34455240627,0.5483199999999999,2.348,110.28482216666667,146.752589
trial-017,27,7,18,438.81758,0.06152898432191344,16877.599230769232,19.566499999999998,30622.08861443508,0.3952592592592592,1.286,73.13218083333334,88.460907
trial-018,23,6,15,404.387725,0.05687610819542062,18381.260227272727,19.415,33806.257450536614,0.40052173913043476,0.745,80.8724862,93.781005
trial-019,26,7,16,436.74617,0.05953114597433104,17469.8468,21.717,30297.351768938905,0.42188461538461536,1.198,72.78728016666666,93.259508
trial-020,30,7,18,467.535802,0.06416620902969908,16121.924206896554,19.92,32064.8366494872,0.4197666666666667,1.166,77.91907983333333,93.813314
trial-021,30,7,18,448.288345,0.06692121339893412,15458.21879310345,21.025,29197.259776462328,0.4761666666666666,2.628,74.71080683333334,101.087774
trial-022,31,7,18,1660.134432,0.01867318658203699,55337.8144,21.5415,175071.80708912332,0.3536451612903227,1.099,276.68516866666664,1278.795269
trial-023,28,7,18,712.524868,0.03929687405661188,26389.809925925925,20.35,49713.18473020023,0.3402857142857143,0.903,118.75049733333334,165.307897
trial-024,26,7,18,446.858088,0.05818402015809547,17874.323519999998,20.814,32748.341720485518,0.41165384615384615,1.117,74.47264299999999,89.25795
trial-025,27,7,18,642.194281,0.042043351675378746,24699.780038461537,20.7,46707.39207646686,0.4074074074074074,1.72,107.02856600000001,149.475373
trial-026,23,6,15,292.722042,0.07857283258498177,13305.547363636362,20.1205,26512.476267830938,0.36569565217391303,1.008,58.539522399999996,87.621812
trial-027,26,7,18,313.783448,0.08285969245898528,12551.337919999996,21.224,24204.97972099719,0.4083076923076923,1.441,52.29304783333333,82.788787
trial-028,27,7,18,458.066118,0.05894345584407533,17617.927615384615,21.411499999999997,31191.376319769326,0.40659259259259256,1.307,76.33573866666666,115.323464
trial-029,28,7,17,545.217573,0.05135564476752476,20193.243444444448,27.276000000000003,36735.939652616464,0.4450357142857143,1.864,90.86384,108.647577
trial-030,25,7,17,466.473364,0.053593628124070126,19436.390166666664,20.506999999999998,35365.31160584589,0.41111999999999993,1.61,77.74140000000001,99.194856
