trace,n_raw,n_removed,n_kept,removed_request_ids
trial-001,29,4,25,cc2e79f8-2eb5-494a-95ea-1573c1ca40e9; e29792de-fec5-4885-b65f-931aeaed9542; 53d9a1ef-8139-42c2-b2a6-9d1604fcf303; f51d13eb-41dc-415b-af77-d8aa258de683
trial-002,34,3,31,6b9bc684-e6dd-4d32-af83-63a4429f1ad1; 37bfc43c-fadc-4da5-b02d-77602d5e7064; d5d243be-4e99-4bd6-a20b-3e2e3ae8dca0
trial-003,27,1,26,fd7d5779-892e-4e55-a63d-68d0fca809a8
trial-004,27,5,22,3a4c521d-96df-4170-80eb-c71a012676c5; e4919c01-0290-4ddd-b86b-e965e80d4ae1; bb667e58-9900-4762-902d-bbffe2b32705; a9139849-dabd-474c-9ad9-650596371841; 583b406c-fee1-4877-91e5-41e89fc14553
trial-005,27,3,24,58ede21f-e8c8-4c5c-af87-7c0131c52de3; e48174ad-40c7-414e-b77d-1e8a14ec3017; f55dc005-5eb7-4fab-b0c7-4dfb697fe9c2
trial-006,28,3,25,8b32c84e-01ee-48ff-956f-dab3bef9dfb4; 32af4e52-fabf-4cae-a426-b60a34077e15; a0aac945-4f76-418a-abb3-a17fa0c32e1c
trial-007,41,1,40,eb496b40-d50a-4cf2-ab19-4db5be9f3484
trial-008,27,4,23,2755e7dc-38dd-43b8-84bb-106abde55983; ff4a2845-c64d-4905-be01-5a9fd5bed403; f6cc0abf-a97b-41c1-a9ca-c581d3c07d8d; 0288bb8c-a539-420c-a81c-fdfc80147dd5
trial-009,30,4,26,502fc75c-6f19-43e2-a556-d2698467b7b5; 7395fd38-a4c5-4ebb-8a56-f969a3233ad0; 371703b7-1d63-4862-a7b5-3d2da338c386; a91ebe60-96cd-470e-b26d-635668a7bd55
trial-010,27,3,24,7bbfe369-733f-4a53-9a7a-6910f2020315; 1593c5b5-69d4-4620-abd5-b29a8d1a611f; 4f81dcb3-bda9-46fe-8ebf-6cc325920ad8
trial-011,103,0,103,
trial-012,27,1,26,c69657e4-3485-44df-8df6-b0fea7bb35bd
trial-013,30,1,29,28eacd93-446e-4347-8faa-990f169c5769
trial-014,28,0,28,
trial-015,27,0,27,
trial-016,27,1,26,b7442bba-6ffa-4e7b-a3a0-e747bd1aa728
trial-017,27,1,26,24d5255a-37b2-48d1-99d4-b4a5e2519318
trial-018,27,0,27,
trial-019,27,1,26,e9bb9dc9-0055-4d5e-9efe-449a549cc765
trial-020,28,0,28,
trial-021,27,0,27,
trial-022,27,1,26,8722c115-a99e-440e-98eb-da8ae62a4a23
trial-023,27,0,27,
trial-024,27,1,26,73a32e96-41f5-499a-af3d-b47a1b9e7108
trial-025,27,1,26,a1b4e27f-d4e6-4449-b46d-0410fd314b30
trial-026,28,0,28,
trial-027,27,0,27,
trial-028,28,1,27,b9bf66bc-de35-41fe-b616-6522abddd5a3
trial-029,29,0,29,
trial-030,27,1,26,7aba4a5a-dbe5-46c8-9b01-9b5ef9c7d7ea
