trace,n_events,n_pages,duration_s,event_rate_hz,n_flushes,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,iei_mean_ms,iei_median_ms,iei_std_ms
trial-001,430,6,113.76560009765625,3.7797014179232433,18,6,83,6,1,104,265.18787901551576,2.0,2111.100015207769
trial-002,338,6,201.91109985351562,1.6740040554739954,18,6,60,6,1,81,599.1427295356547,1.900146484375,5537.087461260912
trial-003,326,6,150.908,2.1602565801680496,18,6,57,6,1,78,464.33230769230767,2.10009765625,4243.630207642164
trial-004,374,6,85.24739990234374,4.387230583319146,18,6,69,6,1,90,228.54530804917894,1.800048828125,2013.704626023096
trial-005,317,6,270.81480004882815,1.1705416393152983,18,5,57,5,1,76,857.0088609140131,1.8499755859375,7517.1627186557125
trial-006,326,6,137.17119995117187,2.37659217179732,18,6,57,6,1,78,422.06523061899037,1.900146484375,3527.1551719649624
trial-007,346,7,783.5213000488282,0.4415961633441716,24,8,57,8,1,81,2271.076232025589,2.0,19015.03513690079
trial-008,374,6,149.63240014648437,2.4994586709420443,18,6,69,6,1,90,401.1592497224782,1.900146484375,3451.414226502249
trial-009,326,6,315.438,1.0334836005807797,18,6,57,6,1,78,970.5784615384615,1.89990234375,9343.170709460743
trial-010,374,6,186.02169995117188,2.0105181282515416,18,6,69,6,1,90,498.7176942390667,1.900146484375,5957.6928587657385
trial-011,370,6,205.46259985351563,1.800814358738725,18,6,68,6,1,89,556.8092136951643,1.800048828125,5464.985307852655
trial-012,326,6,263.2259001464844,1.2384799513215912,18,6,57,6,1,78,809.9258466045673,1.89990234375,9457.650781511891
trial-013,326,6,356.01730004882813,0.9156858387367377,18,6,57,6,1,78,1095.4378463040866,1.800048828125,11180.050937240978
trial-014,326,6,155.802,2.092399327351382,18,6,57,6,1,78,479.39076923076925,1.7001953125,3795.2327100919024
trial-015,338,6,121.17709985351563,2.7893059035790566,18,6,60,6,1,81,359.57596395701967,1.599853515625,2545.127499253281
trial-016,326,6,345.9919001464844,0.9422185891114204,18,6,57,6,1,78,1064.5904619891826,1.900146484375,10591.212030767332
trial-017,326,6,241.64260009765624,1.3490998684348372,18,6,57,6,1,78,743.515692608173,1.800048828125,6578.630740933923
trial-018,326,6,168.5912001953125,1.933671506118527,18,6,57,6,1,78,518.7421544471154,1.800048828125,4710.069261593412
trial-019,458,6,251.51480004882814,1.8209664000332608,18,6,90,6,1,111,550.360612798311,1.7998046875,5815.962566164403
trial-020,326,6,663.0789001464843,0.49164586586601017,18,6,57,6,1,78,2040.2427696814905,1.89990234375,19944.984612578846
trial-021,338,6,110.2905,3.0646338533237225,18,6,60,6,1,81,327.2715133531157,1.60009765625,2298.4129491964027
trial-022,394,6,108.36480004882813,3.6358669957630836,18,6,74,6,1,95,275.73740470439725,1.800048828125,2110.1814924894493
trial-023,326,6,136.52080004882814,2.387914514736235,18,6,57,6,1,78,420.06400015024036,2.0,3744.083698916472
trial-024,326,6,288.6906000976563,1.1292366287288986,18,6,57,6,1,78,888.27876953125,1.900146484375,7967.982439263732
trial-025,326,6,198.33359985351564,1.6436952701951442,18,6,57,6,1,78,610.2572303185096,1.699951171875,5794.511286989099
trial-026,326,6,417.254,0.7812986813787285,18,6,57,6,1,78,1283.8584615384616,1.800048828125,13440.709738828808
trial-027,350,6,121.14339990234375,2.8891379991162736,18,6,63,6,1,84,347.1157590325036,1.800048828125,3319.0652689069175
trial-028,398,6,175.1675998535156,2.272109684284243,18,6,75,6,1,96,441.2282112179235,1.60009765625,4401.809134515657
trial-029,362,6,193.13909985351563,1.8742968165149116,18,6,66,6,1,87,535.0113569349463,1.900146484375,5197.452267417932
trial-030,326,6,108.77190014648437,2.9970975919421474,18,6,57,6,1,78,334.6827696814904,1.89990234375,2296.463691526219
