trace,n_raw,n_removed,n_kept,removed_request_ids
trial-001,26,0,26,
trial-002,26,0,26,
trial-003,27,0,27,
trial-004,26,0,26,
trial-005,26,0,26,
trial-006,26,0,26,
trial-007,26,0,26,
trial-008,26,0,26,
trial-009,27,0,27,
trial-010,26,0,26,
trial-011,26,1,25,28a5790e-6470-405e-ab9c-b9c96fdb84d8
trial-012,26,0,26,
trial-013,26,0,26,
trial-014,27,0,27,
trial-015,26,0,26,
trial-016,26,0,26,
trial-017,26,0,26,
trial-018,26,1,25,f4d5217c-1d9e-45c2-b16d-4c424cb5a419
trial-019,26,0,26,
trial-020,26,0,26,
trial-021,27,0,27,
trial-022,26,0,26,
trial-023,28,0,28,
trial-024,26,0,26,
trial-025,28,0,28,
trial-026,26,0,26,
trial-027,26,0,26,
trial-028,26,0,26,
trial-029,26,1,25,3c3fc661-2cff-434e-8489-8ddfd0d7bb64
trial-030,26,0,26,
