trace,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_combo,sf_known_combo,sf_any_violation,ch_is_headless,ch_brand_count,ch_brand_matches_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,ua_family,ua_os,ua_version,priority_urgency,priority_incr,priority_expected,accept,accept_encoding,upgrade_insecure,has_priority,has_sec_ch_ua,has_sec_fetch_mode,has_upgrade_insecure_requests
trial-001,027f5ab922e35c58,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-002,03aec0ca9fc66ce2,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-003,0067c1a803592830,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-004,024673ad43bc35d2,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-005,0021bce64d139b6f,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-006,05d0991d113f1a99,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-007,03f2e27df7389bfd,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-008,05ec302e4bfd5c09,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-009,036a56e0637b0c87,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-010,03388f3413089bd4,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-011,0cc606dd7d55bdb6,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-012,031380f6fbd168fd,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-013,00e473278879f861,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-014,0054e0e5d825a9ef,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-015,1c9378b8d8bf1a63,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-016,027995c36966b6ae,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-017,06d5f02d19ca61f0,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-018,114cda95a4522672,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-019,0dcffc23b0c062ee,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-020,0e0039fc772a2e1d,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-021,080aec847d1cc939,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-022,05f53ca1cdac498c,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-023,00110db745b8e37b,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-024,0f51e0003572f157,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-025,0070bf9fcbef91c1,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-026,0248f0ef98ba6855,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-027,1cb914a2f1077c21,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-028,04cfdae5076600e2,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-029,0e8d126b9fe3d5c4,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-030,06daa1e32e12b635,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
