trace,n_requests,n_pages,n_collect_posts,duration_s,req_rate_hz,iri_mean_ms,iri_median_ms,iri_std_ms,proc_mean_ms,proc_max_ms,page_dwell_mean_s,page_dwell_max_s
trial-001,26,7,18,88.077302,0.29519523656617,3523.0920800000004,20.947,6557.1824881259145,2.110692307692308,15.781,14.675826999999998,17.915305
trial-002,26,7,18,87.693688,0.29648656126767076,3507.74752,21.026,6648.353210483248,2.8101923076923083,22.098,14.611491333333333,22.09733
trial-003,27,7,18,89.3295,0.30225177572918244,3435.75,26.0735,6160.108720605901,2.6318148148148146,21.322,14.174816333333332,17.389459
trial-004,26,7,18,82.310129,0.3158784989876519,3292.4051599999993,18.77,6066.7025908288215,2.8963076923076922,20.319,13.714464333333332,16.321118
trial-005,26,7,18,85.033615,0.30576143328729466,3401.3446000000004,19.497,6252.20200137297,1.9896153846153841,14.87,14.1672505,15.691407
trial-006,26,7,18,79.815926,0.3257495252263314,3192.63704,19.581,5909.954716649242,2.0468461538461535,15.226,13.298482166666668,15.249275
trial-007,26,7,18,74.051837,0.3511054020172382,2962.07348,19.392,5513.017773524021,2.098346153846154,15.695,12.336268666666667,14.8587
trial-008,26,7,18,88.141198,0.29498124134868237,3525.6479199999994,27.298,6546.947557182412,2.834730769230769,22.848,14.685344166666667,19.256127
trial-009,27,7,18,84.17351,0.32076599870909506,3237.442692307692,18.723,5699.474192244542,2.1527037037037036,20.5,14.024781166666669,17.114021
trial-010,26,7,18,88.4743,0.29387064944283253,3538.9719999999998,18.743,6566.095124663434,2.0199999999999996,14.762,14.741743999999999,19.518896
trial-011,25,7,17,85.71685,0.2916579412332581,3571.535416666666,22.857,6418.355236270488,1.68228,16.722,14.281901833333334,17.653123
trial-012,26,7,18,78.394756,0.33165483670872065,3135.79024,20.384,5836.520842837375,2.0984230769230767,15.44,13.06172416666667,15.328798
trial-013,26,7,18,84.388783,0.3080978191141825,3375.5513200000005,18.574,6268.652144899037,1.9577692307692312,14.383,14.060363500000001,18.399651
trial-014,27,7,18,85.572126,0.3155233048668208,3291.2356153846154,22.9685,6168.266984409919,2.2880370370370375,20.925,14.257199666666667,20.156427
trial-015,26,7,18,81.493853,0.3190424681478737,3259.75412,19.829,6030.88667205059,2.1238461538461535,16.476,13.577818833333334,16.469293
trial-016,26,7,18,107.298383,0.242314928455166,4291.9353200000005,95.795,7962.373925852782,11.105346153846154,95.652,17.821910833333334,21.875568
trial-017,26,7,18,76.083178,0.34173125628374773,3043.32712,20.903000000000002,5724.599265715659,2.1748846153846157,16.434,12.676530666666666,17.133555
trial-018,25,7,17,81.425588,0.30702879296370567,3392.732833333333,20.137500000000003,6104.439904558381,2.0273999999999996,14.523,13.567332666666667,16.296706
trial-019,26,7,18,76.097772,0.3416657192013453,3043.91088,21.732000000000003,5627.615820349533,3.680269230769231,40.44,12.678691666666666,14.919431
trial-020,26,7,18,80.540396,0.32281937128791865,3221.61584,20.459999999999997,5881.199948719717,2.7736923076923077,20.9,13.418707333333332,15.397878
trial-021,27,7,18,87.325568,0.3091877970951188,3358.6756923076923,28.5515,6075.948363683173,4.129629629629629,40.554,14.549412833333335,17.653668
trial-022,26,7,18,81.688124,0.31828372016475737,3267.5249599999997,20.429,5992.662916673956,2.3463076923076924,20.781,13.610794166666667,15.906402
trial-023,28,7,18,87.610862,0.3195950748664019,3244.8467407407406,24.757,5465.41483124027,2.625357142857143,21.457,14.596356833333333,17.346836
trial-024,26,7,18,84.58036,0.3073999685033263,3383.2144,23.271,6220.387222018196,2.7276923076923083,21.831,14.092117666666667,17.580664
trial-025,28,8,18,82.068084,0.34118013526427643,3039.5586666666672,26.926,5697.881759101292,2.9265000000000003,24.93,11.719670285714285,16.896387
trial-026,26,7,18,75.424494,0.34471560392569556,3016.9797599999997,21.195999999999998,5578.420797925619,2.1550000000000002,16.592,12.566333333333334,14.990778
trial-027,26,7,18,81.65413,0.3184162270787773,3266.1652000000004,19.616999999999997,6045.682747364678,2.101346153846154,14.943,13.604618666666667,15.895928
trial-028,26,7,18,79.165076,0.328427651607383,3166.60304,19.900000000000002,5847.728755050156,2.062076923076923,14.703,13.189707499999999,15.867938
trial-029,25,7,17,81.817529,0.3055579935688354,3409.063708333333,20.2925,6119.596371356284,2.08096,15.316,13.631659,16.1636
trial-030,26,7,18,85.850194,0.302853130419251,3434.00776,19.107,6276.12789641633,1.9421923076923082,14.547,14.304671999999998,16.684226
