trace,n_raw,n_removed,n_kept,removed_request_ids
trial-001,27,0,27,
trial-002,25,0,25,
trial-003,27,1,26,4d6ee0d5-e497-4cf9-be6b-e8560f173ae4
trial-004,26,0,26,
trial-005,26,0,26,
trial-006,26,0,26,
trial-007,25,0,25,
trial-008,26,0,26,
trial-009,26,0,26,
trial-010,26,0,26,
trial-011,26,0,26,
trial-012,26,0,26,
trial-013,26,0,26,
trial-014,28,0,28,
trial-015,27,0,27,
trial-016,26,1,25,2a756ca4-9d84-4bd3-a765-de690f8b3e99
trial-017,28,0,28,
trial-018,26,0,26,
trial-019,26,0,26,
trial-020,26,0,26,
trial-021,26,0,26,
trial-022,26,0,26,
trial-023,26,0,26,
trial-024,26,0,26,
trial-025,26,0,26,
trial-026,27,0,27,
trial-027,26,0,26,
trial-028,26,0,26,
trial-029,26,0,26,
trial-030,27,0,27,
