trace,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_combo,sf_known_combo,sf_any_violation,ch_is_headless,ch_brand_count,ch_brand_matches_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,ua_family,ua_os,ua_version,priority_urgency,priority_incr,priority_expected,accept,accept_encoding,upgrade_insecure,has_priority,has_sec_ch_ua,has_sec_fetch_mode,has_upgrade_insecure_requests
trial-001,137482f31c7132f6,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-002,0fc19cf0ac6d4b14,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-003,23e0d933e7a91473,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-004,03f1d3da336ae4c2,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-005,1059f1966463e063,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-006,0208f3843f8b0c86,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-007,07df76aa574a73ae,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-008,068f3855c030e251,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-009,0c2255d08317f29b,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-010,039db13d5154933c,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-011,0380060d74e21d73,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-012,0e9b1e1fc70f9527,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-013,06d5f02d19ca61f0,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-014,06180b0dea89b649,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-015,218aa4bb14d6797e,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-016,0dc32e5861cda354,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-017,03a7d7cf2122baef,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-018,0366a2227b77e973,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-019,0239473e56f89a69,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-020,069226cf757db8fb,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-021,14a4d7f3f5b16439,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-022,02ecb313edb610c2,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-023,1f105963e8b960c3,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-024,05ccd8b567cd3449,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-025,05ad11c52a030fa4,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-026,054bde92e62d0ac8,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-027,1377d57249b8ad73,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-028,02528785200ef758,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-029,092fbcc6edfb7fad,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-030,0137b6ae0042a3bb,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,False,headless-chrome,linux,147,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
