trace,n_events,n_pages,duration_s,event_rate_hz,n_flushes,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,iei_mean_ms,iei_median_ms,iei_std_ms
trial-001,387,6,89.22830004882813,4.337188983632134,18,10,79,12,0,83,231.16139909022831,0.60009765625,1046.6309323946352
trial-002,219,6,76.67080004882813,2.856367741832991,17,7,40,9,1,46,351.70091765517486,0.599853515625,1325.4944593186972
trial-003,384,6,129.37069995117187,2.9682145968517784,18,9,80,12,2,85,337.78250639992655,0.599853515625,1952.7178066980493
trial-004,368,6,65.69089990234374,5.601993587347254,18,7,80,9,0,81,178.99427766306198,0.699951171875,865.2954167952981
trial-005,290,6,65.15360009765625,4.451020351374752,18,6,60,8,0,63,225.44498303687283,0.60009765625,1034.6641560343703
trial-006,379,6,107.5992001953125,3.5223310146547995,18,9,80,11,1,81,284.653968770668,0.60009765625,1353.5593961449774
trial-007,314,6,125.93889990234375,2.493272533295778,17,9,60,12,2,70,402.36070256339855,0.599853515625,2196.2424223144576
trial-008,524,6,78.34439990234375,6.688416793710408,18,9,120,11,0,117,149.79808776738767,0.60009765625,821.8448270375893
trial-009,331,6,96.23580004882812,3.43946847048663,18,13,60,15,0,76,291.62363651160035,0.60009765625,1156.2906699184834
trial-010,379,6,87.20189990234375,4.346235580009576,18,9,79,11,0,81,230.69285688450728,0.5,1099.458174798266
trial-011,451,6,92.55580004882812,4.872736227897911,18,8,100,11,2,102,205.6795556640625,0.60009765625,1031.606245181043
trial-012,305,6,88.25269995117188,3.455984917954343,18,8,60,11,2,68,290.3049340499075,0.60009765625,1193.6772990648362
trial-013,360,6,83.71309985351563,4.300402214586985,18,7,80,8,1,78,233.18412215463962,0.599853515625,1158.8143853514314
trial-014,276,6,59.97689990234375,4.601771689590355,18,5,60,6,0,59,218.09781782670456,0.699951171875,1057.6207607903236
trial-015,472,6,109.83190014648437,4.2974764105008365,18,13,99,16,2,105,233.18874765707935,0.60009765625,1066.3090400492263
trial-016,318,6,97.67739990234375,3.2556149151997404,18,10,60,13,2,71,308.1305990610213,0.60009765625,1208.2751276655586
trial-017,405,6,115.267,3.5135815107532946,18,12,80,15,2,90,285.31435643564356,0.599853515625,1207.5582970857179
trial-018,373,6,69.06060009765625,5.401053559809115,18,8,79,10,0,80,185.6467744560652,0.5999755859375,881.2130570886659
trial-019,481,6,131.1828000488281,3.66663922267984,18,13,99,17,3,107,273.29750010172523,0.599853515625,1226.2866216806735
trial-020,290,6,57.2085,5.069176783170333,18,6,60,8,0,63,197.95328719723184,0.5,873.3636265633857
trial-021,411,6,117.82040014648437,3.4883602456706115,18,13,80,17,3,94,287.36682962557165,0.599853515625,1230.9356359915712
trial-022,374,6,82.12460009765626,4.554055661218051,18,8,80,10,1,82,220.17319061033848,0.599853515625,1084.4838619875866
trial-023,300,6,78.99180004882813,3.797862560601955,18,7,60,10,2,66,264.18662223688335,0.60009765625,1089.2481712412555
trial-024,290,6,57.96840014648438,5.002725610283859,18,6,60,8,0,63,200.58269946880407,0.599853515625,887.7340429028495
trial-025,291,6,67.64819995117188,4.301666566295072,18,6,60,8,1,63,233.26965500404094,0.60009765625,1009.703946381776
trial-026,473,6,96.69789990234375,4.891522985273597,18,12,100,14,0,106,204.86843199649098,0.60009765625,1042.9636192838395
trial-027,397,6,108.05469995117187,3.674065081661397,18,11,79,15,3,89,272.8654039171007,0.60009765625,1218.6157851244882
trial-028,460,6,81.5912998046875,5.637856010397479,18,10,100,12,0,101,177.75882310389434,0.60009765625,886.1570275681444
trial-029,393,6,90.93,4.322005938634113,18,11,80,13,1,85,231.96428571428572,0.599853515625,1012.1443058764528
trial-030,469,6,118.37690014648437,3.9619216200089746,18,12,99,15,2,104,252.94209433009482,0.400146484375,1216.0053310128214
