trace,n_requests,n_pages,n_collect_posts,duration_s,req_rate_hz,iri_mean_ms,iri_median_ms,iri_std_ms,proc_mean_ms,proc_max_ms,page_dwell_mean_s,page_dwell_max_s
trial-001,27,7,18,89.474421,0.3017622209592169,3441.3238846153845,21.0745,6936.966699701502,2.5928148148148153,28.056,14.908497333333335,27.173387
trial-002,25,7,17,116.274418,0.2150086014621032,4844.767416666667,21.115000000000002,10302.568799485005,1.5774,15.155,19.374337,39.57582
trial-003,26,7,17,129.619466,0.20058715563602153,5184.7786399999995,20.809,10811.018019228264,2.488115384615384,26.835,21.599374,60.963539
trial-004,26,7,18,65.892379,0.3945828090377492,2635.69516,19.596,4872.170961079266,2.6808846153846155,27.362,10.977896666666666,13.291587
trial-005,26,7,18,65.36936,0.39773985855146815,2614.7744000000002,17.445999999999998,4865.355949219432,1.9884230769230768,14.488,10.890396166666667,13.537706
trial-006,26,7,18,108.529327,0.23956658277259935,4341.17308,49.092999999999996,9139.336592342885,11.64926923076923,102.614,18.07920133333333,36.073243
trial-007,25,7,17,126.216171,0.19807287609762778,5259.007124999999,23.2975,10463.086627493847,2.5312800000000006,36.842,21.022691833333333,33.666191
trial-008,26,7,18,78.563521,0.3309423975536942,3142.5408399999997,20.586,6114.7477060779165,3.2689615384615376,30.171,13.0897065,21.82284
trial-009,26,7,18,96.476581,0.2694954540314815,3859.0632400000004,20.316000000000003,9117.958768688966,2.019076923076923,14.796,16.075453166666666,41.917581
trial-010,26,7,18,87.462958,0.2972687020258336,3498.51832,19.075000000000003,6825.632641351275,2.0021153846153847,16.145,14.573850499999999,25.443608
trial-011,26,7,18,92.783362,0.2802226545746424,3711.3344799999995,18.585,7498.941477269131,2.772269230769231,28.088,15.459108999999998,26.610706
trial-012,26,7,18,88.535794,0.29366653672298915,3541.4317600000004,18.663,8331.587480609178,2.1641153846153847,14.414,14.752521999999999,38.031114
trial-013,26,7,18,84.215673,0.30873113131803864,3368.6269199999992,23.327,6783.275837856323,2.949692307692308,30.713,14.031694333333334,23.108914
trial-014,28,7,18,60.209572,0.4650423357933851,2229.984148148148,21.141000000000002,4254.433449697085,1.9922499999999999,15.65,10.030532833333334,13.427724
trial-015,27,7,18,110.085292,0.245264371919911,4234.049692307693,21.4805,9521.571218950963,2.5898888888888885,21.395,18.342441833333336,42.846476
trial-016,25,7,17,97.931954,0.25527929321210113,4080.4980833333325,20.341500000000003,9514.97233521266,1.6086800000000003,15.699,16.314661,43.126618
trial-017,28,7,18,116.097899,0.24117576839181215,4299.922185185186,60.744,9128.434461987983,12.42060714285714,88.487,19.344973833333334,42.160594
trial-018,26,7,18,69.329796,0.37501913318769897,2773.19184,22.243,5442.264009728478,2.614461538461538,28.189,11.550330166666667,19.680572
trial-019,26,7,18,131.455434,0.19778566171711093,5258.217359999999,20.792,12027.16638809867,2.6162307692307687,31.131,21.90545,44.248259
trial-020,26,7,18,57.453336,0.4525411718477061,2298.1334399999996,19.902,4271.468169443851,2.198576923076923,20.152,9.571235166666666,12.428815
trial-021,26,7,18,118.106139,0.22014096997955374,4724.245559999999,19.86,10587.076770711363,2.8560769230769227,30.322,19.6797475,42.452813
trial-022,26,7,18,82.417721,0.31546613622087416,3296.70884,21.369,6645.235537098112,2.2259615384615388,16.367,13.731753166666666,25.50369
trial-023,26,7,18,79.28232,0.32794196738945075,3171.2928,19.537,6665.706244116867,1.9904615384615385,14.496,13.209835,27.779363
trial-024,26,7,18,58.26403,0.4462444496201173,2330.5612,21.291999999999998,4316.523314649611,2.134576923076923,15.617,9.705209000000002,12.5503
trial-025,26,7,18,67.935435,0.3827163246985907,2717.4174,19.544,5092.190901799178,2.0305769230769233,14.527,11.317519333333335,15.106327
trial-026,27,7,18,96.966311,0.2784472227679157,3729.4734999999996,19.8545,7227.704217889701,2.463481481481481,27.775,16.157149999999998,34.825246
trial-027,26,7,18,108.357315,0.23994688314305315,4334.2926,21.353,9951.34646417392,2.832576923076923,29.116,18.054936833333333,42.732223
trial-028,26,7,18,81.858379,0.3176217305744596,3274.33516,19.134999999999998,6606.219136039877,3.0608461538461538,30.4,13.639337,25.588944
trial-029,26,7,18,91.167356,0.28518979973489633,3646.69424,18.912000000000003,7076.652402629199,2.5364230769230764,28.213,15.190406166666667,23.17141
trial-030,27,7,18,118.859337,0.22715926810192455,4571.512961538461,21.4295,10511.3272814116,2.6798888888888888,31.647,19.805305666666666,47.209744
