trace,n_raw,n_removed,n_kept,removed_request_ids
trial_001,24,1,23,ac09dcdf-d325-4f39-af0b-088341ce1c7d
trial_002,7,0,7,
trial_003,20,1,19,c69657e4-3485-44df-8df6-b0fea7bb35bd
trial_004,27,0,27,
trial_005,27,0,27,
trial_006,8,0,8,
trial_007,29,1,28,8722c115-a99e-440e-98eb-da8ae62a4a23
trial_008,15,1,14,a1b4e27f-d4e6-4449-b46d-0410fd314b30
trial_009,27,0,27,
trial_010,29,0,29,
trial_011,6,0,6,
trial_012,12,0,12,
trial_013,7,0,7,
trial_014,1,0,1,
trial_015,120,1,119,c69657e4-3485-44df-8df6-b0fea7bb35bd
trial_016,24,0,24,
trial_017,9,1,8,24d5255a-37b2-48d1-99d4-b4a5e2519318
trial_018,27,1,26,e9bb9dc9-0055-4d5e-9efe-449a549cc765
trial_019,12,0,12,
trial_020,28,0,28,
trial_021,27,0,27,
trial_022,29,0,29,
trial_023,29,0,29,
trial_024,27,0,27,
trial_025,29,0,29,
trial_026,30,0,30,
trial_027,29,0,29,
trial_028,218,0,218,
trial_029,27,0,27,
trial_030,29,0,29,
