field,n_distinct,modal_value,stability,entropy
header_order_hash,29,e3b0c44298fc1c14,0.06666666666666667,4.840223928900015
ua_os,4,linux,0.43333333333333335,1.8190558839755808
n_headers,5,15,0.5,1.802467797364352
ua_family,5,headless-chrome,0.43333333333333335,1.7108854673795868
ua_version,5,147,0.4827586206896552,1.7104934999533394
ch_brand_count,3,2,0.7,1.1786137171778313
priority_urgency,2,4,0.5357142857142857,0.9963165195560768
accept_encoding,4,"gzip, deflate, br, zstd",0.8666666666666667,0.7665095065471345
sf_mode,2,cors,0.8666666666666667,0.5665095065500199
has_sec_fetch_mode,2,True,0.8666666666666667,0.5665095065500199
has_sec_ch_ua,2,True,0.8666666666666667,0.5665095065500199
has_priority,2,True,0.8666666666666667,0.5665095065500199
sf_combo,2,cors|empty|same-origin,0.8666666666666667,0.5665095065500199
sf_site,2,same-origin,0.8666666666666667,0.5665095065500199
sf_dest,2,empty,0.8666666666666667,0.5665095065500199
accept,2,*/*,0.9333333333333333,0.353359335018536
ch_is_headless,2,False,0.9333333333333333,0.353359335018536
ch_any_incoherence,2,False,0.9666666666666667,0.21084230031564677
priority_incr,1,True,1.0,-1.4428232973175175e-12
priority_expected,1,True,1.0,-1.4428232973175175e-12
ch_platform_matches_ua,1,True,1.0,-1.4428232973175175e-12
upgrade_insecure,1,,1.0,-1.4428232973175175e-12
ch_mobile_matches_ua,1,True,1.0,-1.4428232973175175e-12
ch_brand_matches_ua,1,True,1.0,-1.4428232973175175e-12
has_upgrade_insecure_requests,1,False,1.0,-1.4428232973175175e-12
