trace,n_events,n_pages,duration_s,event_rate_hz,n_flushes,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,iei_mean_ms,iei_median_ms,iei_std_ms
trial_001,88,7,512.4877998046875,0.1717114047076582,19,5,4,7,0,20,5890.6643655711205,3.800048828125,12082.037594682784
trial_003,229,5,248.346,0.9221006176866147,15,5,38,5,1,55,1089.2368421052631,1.89990234375,11252.105492318728
trial_004,338,6,121.17709985351563,2.7893059035790566,18,6,60,6,1,81,359.57596395701967,1.599853515625,2545.127499253281
trial_005,326,6,168.5912001953125,1.933671506118527,18,6,57,6,1,78,518.7421544471154,1.800048828125,4710.069261593412
trial_006,207,3,588.6773000488281,0.3516357773313669,7,3,38,3,1,51,2857.6567963535344,1.699951171875,24871.32426991673
trial_007,394,6,108.36480004882813,3.6358669957630836,18,6,74,6,1,95,275.73740470439725,1.800048828125,2110.1814924894493
trial_008,304,4,162.0735,1.87569220137777,10,4,57,4,1,74,534.8960396039604,1.599853515625,5844.977380363727
trial_009,350,6,121.14339990234375,2.8891379991162736,18,6,63,6,1,84,347.1157590325036,1.800048828125,3319.0652689069175
trial_010,387,6,89.22830004882813,4.337188983632134,18,10,79,12,0,83,231.16139909022831,0.60009765625,1046.6309323946352
trial_011,133,2,79.08509985351563,1.6817327188857012,4,4,20,14,0,26,599.1295443448154,1.10009765625,3145.7844727111988
trial_012,86,3,172.00059985351564,0.4999982562458615,9,6,0,23,5,16,2023.5364688648897,0.699951171875,6326.214254299961
trial_013,133,2,76.19460009765625,1.7455305209232417,4,4,20,14,0,26,577.2318189216383,1.0,3045.50646528193
trial_015,336,6,657.4128000488281,0.5110943990975597,21,7,57,7,1,80,1962.4262688024721,2.0,22404.823089146943
trial_016,326,6,155.802,2.092399327351382,18,6,57,6,1,78,479.39076923076925,1.7001953125,3795.2327100919024
trial_017,20,2,101.35639990234375,0.19732350418197442,6,2,0,2,0,4,5334.54736328125,32.800048828125,18777.67049293095
trial_018,458,6,251.51480004882814,1.8209664000332608,18,6,90,6,1,111,550.360612798311,1.7998046875,5815.962566164403
trial_019,35,3,144.04810009765626,0.2429743951934946,9,3,0,3,1,9,4236.708826401655,30.6500244140625,17286.51236440828
trial_020,326,6,136.52080004882814,2.387914514736235,18,6,57,6,1,78,420.06400015024036,2.0,3744.083698916472
trial_021,189,6,158.22110009765626,1.1945309436184337,18,8,18,17,28,38,841.601596264129,6.9000244140625,2645.7733561848013
trial_022,197,6,351.5133000488281,0.5604339863459934,18,9,22,17,28,39,1793.4352043307558,10.5499267578125,4795.309887021756
trial_023,178,6,347.00409985351564,0.5129622389912423,18,9,6,15,28,38,1960.4751404153426,9.199951171875,5736.364594170855
trial_024,186,6,195.39469995117187,0.9519193716435524,18,8,19,16,25,39,1056.1875673036318,6.7998046875,3312.118249160283
trial_025,69,4,195.4154001464844,0.3530939728817547,11,4,10,5,0,6,2873.755884507123,6.2000732421875,8358.809992707089
trial_026,174,5,473.995,0.3670924798784797,18,9,24,14,17,30,2739.8554913294797,10.0,8136.886302210674
trial_027,186,6,166.79269995117187,1.1151567188159375,18,9,18,17,24,36,901.5821618982263,7.89990234375,2617.6151532114745
trial_028,136,6,186.45219995117188,0.729409468140444,18,7,19,16,5,17,1381.1274070457175,9.699951171875,3830.9214838812213
trial_029,149,6,282.0155,0.5283397543752029,18,9,18,15,11,18,1905.5101351351352,8.9000244140625,5747.593147335212
trial_030,198,6,277.90039990234374,0.7124854806599007,18,9,18,21,28,40,1410.6619284382932,6.199951171875,4240.059509441554
