trace,n_raw,n_removed,n_kept,removed_request_ids
trial-001,23,0,23,
trial-002,29,0,29,
trial-003,24,0,24,
trial-004,25,0,25,
trial-005,12,0,12,
trial-006,28,0,28,
trial-007,33,0,33,
trial-008,26,0,26,
trial-009,23,0,23,
trial-010,37,4,33,0e806a0c-3f38-4430-9d78-decddfd8f892; d27e7bff-748e-46b8-83bd-769466b543d3; 65237dfe-ab56-49d0-9b22-01c356445875; f5a8b588-7725-4850-9e11-88433937bca1
trial-011,28,0,28,
trial-012,28,0,28,
trial-013,27,0,27,
trial-014,26,0,26,
trial-015,27,0,27,
trial-016,26,0,26,
trial-017,26,0,26,
trial-018,39,0,39,
trial-019,45,0,45,
trial-020,42,0,42,
trial-021,26,0,26,
trial-022,26,0,26,
trial-023,26,0,26,
trial-024,26,0,26,
trial-025,26,0,26,
trial-026,27,0,27,
trial-027,26,0,26,
trial-028,38,0,38,
trial-029,35,0,35,
trial-030,39,0,39,
