trace,request_id,timestamp,method,path,protocol,req_type,header_order_str,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_user,sf_combo,ch_ua,ch_mobile,ch_platform,ch_is_headless,ch_brand_count,ua,ua_family,ua_os,ua_version,priority,accept,accept_encoding,referer,origin,content_type,upgrade_insecure,has_accept,has_accept_encoding,has_accept_language,has_user_agent,has_sec_ch_ua,has_sec_ch_ua_mobile,has_sec_ch_ua_platform,has_sec_fetch_mode,has_sec_fetch_dest,has_sec_fetch_site,has_sec_fetch_user,has_priority,has_upgrade_insecure_requests,has_referer,has_origin,has_content_type,has_content_length,has_cache_control,has_connection,has_te,has_dnt,sf_sf_known_combo,sf_sf_site_valid,sf_sf_user_correct,sf_sf_nav_has_user,sf_sf_no_user_on_non_nav,sf_sf_cors_dest_empty,sf_sf_any_violation,ch_brand_matches_ua,ch_version_near_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,priority_raw,priority_urgency,priority_incr,priority_expected
trial-004,bcecc486-c897-4fca-962f-a67963640283,2026-04-19 04:34:04.143367569+00:00,GET,/subscribe-v1.html,HTTP/2.0,navigate,"Sec-Ch-Ua-Mobile,User-Agent,Sec-Fetch-Mode,Sec-Fetch-User,Sec-Fetch-Dest,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Platform,Accept-Language,Upgrade-Insecure-Requests,Accept,Sec-Fetch-Site,Accept-Encoding",c173be25baaaa5a7,13,navigate,document,none,?1,navigate|document|none,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
trial-004,9d07710e-ece3-472d-88db-62ca33b96b4f,2026-04-19 04:34:04.274856678+00:00,GET,/logger.js,HTTP/2.0,subresource:script,"Accept,Sec-Fetch-Mode,Priority,Sec-Ch-Ua-Platform,Accept-Language,Sec-Ch-Ua,User-Agent,Sec-Fetch-Site,Sec-Fetch-Dest,Referer,Accept-Encoding,Sec-Ch-Ua-Mobile",01c524c5b8743787,12,no-cors,script,same-origin,,no-cors|script|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,u=1,*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,u=1,1.0,False,True
trial-004,9347d5b1-a8a4-4c05-9594-5e09806af8b3,2026-04-19 04:34:04.655699656+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Ch-Ua-Platform,Sec-Ch-Ua,Accept,Sec-Fetch-Mode,Accept-Encoding,Priority,Accept-Language,User-Agent,Sec-Ch-Ua-Mobile,Sec-Fetch-Site,Sec-Fetch-Dest,Referer",69a4263f7ba9ca72,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=1, i",1.0,True,False
trial-004,08a76dfb-cf30-43bd-896a-4a95318e8ce9,2026-04-19 04:37:27.262173654+00:00,GET,/subscribe-v1.html,HTTP/2.0,navigate,"Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-User,Sec-Fetch-Dest,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Accept-Language,Accept-Encoding,Priority,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests,User-Agent,Accept",d79dd009af2da8f7,13,navigate,document,none,?1,navigate|document|none,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
trial-004,6f52a114-39d7-4113-a74a-ac7e19a751a5,2026-04-19 04:37:27.297166103+00:00,GET,/logger.js,HTTP/2.0,subresource:script,"Referer,Accept-Encoding,Sec-Ch-Ua,User-Agent,Sec-Ch-Ua-Mobile,Sec-Fetch-Dest,Priority,Sec-Ch-Ua-Platform,Accept-Language,Accept,Sec-Fetch-Site,Sec-Fetch-Mode",a0b38f2c129f095a,12,no-cors,script,same-origin,,no-cors|script|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,u=1,*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,u=1,1.0,False,True
trial-004,6e1a36e1-929b-41ac-8f6a-12f929940cda,2026-04-19 04:37:27.497465499+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"Sec-Fetch-Site,Sec-Fetch-Dest,Accept-Encoding,Sec-Ch-Ua-Platform,Accept-Language,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Accept,Sec-Fetch-Mode,Referer,Priority,User-Agent",5c1c8e6809003f8c,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=1, i",1.0,True,False
trial-007,cee41379-d9d1-4bc9-a97c-1725ed0945ac,2026-04-19 05:18:28.289940687+00:00,GET,/subscribe-v1.html,HTTP/2.0,navigate,"Accept-Encoding,Priority,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests,User-Agent,Sec-Fetch-User,Sec-Fetch-Dest,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Accept-Language,Accept,Sec-Fetch-Site,Sec-Fetch-Mode",3eaee7d1924179ac,13,navigate,document,none,?1,navigate|document|none,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=0, i",0.0,True,True
trial-007,de322bf1-3afe-47b5-83bd-48da433b5a70,2026-04-19 05:18:28.332184634+00:00,GET,/logger.js,HTTP/2.0,subresource:script,"Sec-Ch-Ua-Mobile,Sec-Fetch-Dest,Accept-Language,Sec-Ch-Ua,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Accept-Encoding,Priority,Sec-Ch-Ua-Platform,User-Agent",6b17480fddd714d0,12,no-cors,script,same-origin,,no-cors|script|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,u=1,*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,u=1,1.0,False,True
trial-007,5a22c64d-cd93-4cb8-8d97-1cc3a17ca5c1,2026-04-19 05:18:28.535145208+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"User-Agent,Accept,Sec-Fetch-Mode,Sec-Fetch-Dest,Referer,Accept-Encoding,Priority,Sec-Ch-Ua-Platform,Accept-Language,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Sec-Fetch-Site",a389a0639eb7e04a,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=1, i",1.0,True,False
trial-007,c5cec233-cb58-4284-b81f-69e481a65fd7,2026-04-19 05:19:22.544278459+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Origin,Sec-Fetch-Site,Sec-Fetch-Dest,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Accept-Encoding,Priority,Sec-Ch-Ua-Platform,User-Agent,Accept,Referer,Content-Length,Accept-Language,Content-Type,Sec-Fetch-Mode",2c073984d8348c67,15,cors,empty,same-origin,,cors|empty|same-origin,"""Chromium"";v=""147"", ""Not.A/Brand"";v=""8""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",chrome,linux,119,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,https://uxbehaviorsuite.com,application/json,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,True,True,True,"u=4, i",4.0,True,True
