trace,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_combo,sf_known_combo,sf_any_violation,ch_is_headless,ch_brand_count,ch_brand_matches_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,ua_family,ua_os,ua_version,priority_urgency,priority_incr,priority_expected,accept,accept_encoding,upgrade_insecure,has_priority,has_sec_ch_ua,has_sec_fetch_mode,has_upgrade_insecure_requests
trial-001,00c0699f97f5b54c,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-002,02ca0de387f326cf,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-003,0087c8a646db1fcd,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-004,01c524c5b8743787,12,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-005,06086ad767f594ef,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-006,05c87077140b5f60,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-007,03c5c567f6aeaa5d,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-008,0bcab7d0155176b1,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-009,16da29007a83e897,12,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-010,0c5314fbf81bdeb5,14,cors,empty,same-origin,cors|empty|same-origin,,,True,3,True,True,True,True,edge,windows,122,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-011,108d5636d053ca31,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-012,0c79cc52255fae82,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-013,1178b5c80abc61e4,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-014,08f193acb0360c2e,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-015,09d462af36b18cf5,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-016,075af740db8d1160,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-017,0fba2af0d76d2ec3,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-018,41335d349ad4f20f,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-019,10328099cefebbd7,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-020,00321c98af6fd626,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-021,13d5ffbb93294bbb,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-022,02911f916bac7a45,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-023,0d8f72afe9e61031,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-024,07ae835d05216a2e,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-025,220be00fd2599cd2,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-026,04bd6dae7a08a932,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-027,058c2fac662fa67d,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-028,03602793f2090fef,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-029,a653ad009cc5bcfd,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
trial-030,0d472667cd08d7d3,15,cors,empty,same-origin,cors|empty|same-origin,,,False,3,True,True,True,False,chrome,windows,145,4.0,True,True,*/*,"gzip, deflate, br, zstd",,True,True,True,False
