trace,request_id,timestamp,method,path,protocol,req_type,header_order_str,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_user,sf_combo,ch_ua,ch_mobile,ch_platform,ch_is_headless,ch_brand_count,ua,ua_family,ua_os,ua_version,priority,accept,accept_encoding,referer,origin,content_type,upgrade_insecure,has_accept,has_accept_encoding,has_accept_language,has_user_agent,has_sec_ch_ua,has_sec_ch_ua_mobile,has_sec_ch_ua_platform,has_sec_fetch_mode,has_sec_fetch_dest,has_sec_fetch_site,has_sec_fetch_user,has_priority,has_upgrade_insecure_requests,has_referer,has_origin,has_content_type,has_content_length,has_cache_control,has_connection,has_te,has_dnt,sf_sf_known_combo,sf_sf_site_valid,sf_sf_user_correct,sf_sf_nav_has_user,sf_sf_no_user_on_non_nav,sf_sf_cors_dest_empty,sf_sf_any_violation,ch_brand_matches_ua,ch_version_near_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,priority_raw,priority_urgency,priority_incr,priority_expected
trial-001,2a12c715-8990-4303-a4e8-af8cfea108c8,2026-04-19 03:46:20.264653554+00:00,GET,/subscribe-v1.html,HTTP/2.0,navigate,"User-Agent,Accept,Sec-Fetch-Mode,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests,Sec-Fetch-Site,Sec-Fetch-User,Sec-Fetch-Dest,Accept-Encoding,Accept-Language,Sec-Ch-Ua-Platform",61c18936af6c5a77,13,navigate,document,none,?1,navigate|document|none,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,6ba3fce7-cacd-44b6-86c6-fd9f61010dc7,2026-04-19 03:46:20.667365965+00:00,GET,/logger.js,HTTP/2.0,subresource:script,"Sec-Ch-Ua-Mobile,Accept,Referer,Sec-Ch-Ua,Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-Dest,Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua-Platform,User-Agent",b0375b1eec0ad2f9,12,no-cors,script,same-origin,,no-cors|script|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,u=1,*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,u=1,1.0,False,True
trial-001,118598bb-34c2-4c24-ba71-11a1689280dc,2026-04-19 03:47:31.051754680+00:00,GET,/subscribe-v2.html,HTTP/2.0,navigate,"Referer,Accept-Language,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests,Accept,Sec-Fetch-User,Sec-Fetch-Dest,Accept-Encoding,Priority,Sec-Ch-Ua-Platform,User-Agent,Sec-Fetch-Site,Sec-Fetch-Mode",05fff9139be48797,14,navigate,document,same-origin,?1,navigate|document|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,1e29df38-e642-4a89-ae5c-51bcc17f85a8,2026-04-19 03:47:31.051791797+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"User-Agent,Origin,Accept-Encoding,Content-Type,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Sec-Ch-Ua,Accept-Language,Content-Length,Sec-Ch-Ua-Platform,Sec-Ch-Ua-Mobile,Sec-Fetch-Dest,Priority",c013492c436a2612,15,cors,empty,same-origin,,cors|empty|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,https://uxbehaviorsuite.com,application/json,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=4, i",4.0,True,True
trial-001,1e701731-64ba-4d68-9fd9-9aa4f566f951,2026-04-19 03:47:31.378715984+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Origin,Sec-Fetch-Mode,Accept-Encoding,Content-Length,Sec-Ch-Ua-Platform,Sec-Ch-Ua-Mobile,Sec-Fetch-Site,Sec-Fetch-Dest,User-Agent,Sec-Ch-Ua,Accept,Referer,Accept-Language,Content-Type,Priority",0e8fcdeae7163fae,15,cors,empty,same-origin,,cors|empty|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,https://uxbehaviorsuite.com,application/json,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=4, i",4.0,True,True
trial-001,582a0574-ac4f-44cb-86e6-3885d0d9c4e5,2026-04-19 03:47:31.378910095+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Sec-Ch-Ua-Mobile,Origin,Referer,Accept-Language,Sec-Ch-Ua,Content-Type,User-Agent,Sec-Fetch-Mode,Content-Length,Sec-Ch-Ua-Platform,Accept,Sec-Fetch-Site,Sec-Fetch-Dest,Accept-Encoding,Priority",00c0699f97f5b54c,15,cors,empty,same-origin,,cors|empty|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,https://uxbehaviorsuite.com,application/json,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=4, i",4.0,True,True
trial-001,c2e67efc-2ade-432a-a3c8-c25878ba3967,2026-04-19 03:48:36.506655308+00:00,GET,/subscribe-v3.html,HTTP/2.0,navigate,"Sec-Ch-Ua,Sec-Ch-Ua-Mobile,User-Agent,Sec-Fetch-Site,Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests,Accept,Sec-Fetch-Mode,Sec-Fetch-User,Sec-Fetch-Dest,Referer",48f495e6e7425c22,14,navigate,document,same-origin,?1,navigate|document|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,facfde20-e1c6-461f-bff0-9f2fff84512f,2026-04-19 03:48:36.854300423+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Content-Length,Sec-Ch-Ua-Platform,Sec-Ch-Ua-Mobile,Accept,Sec-Fetch-Mode,Priority,User-Agent,Sec-Ch-Ua,Accept-Encoding,Accept-Language,Content-Type,Origin,Sec-Fetch-Site,Sec-Fetch-Dest,Referer",cff8fdcd0a1dff5e,15,cors,empty,same-origin,,cors|empty|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,https://uxbehaviorsuite.com,application/json,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=4, i",4.0,True,True
trial-001,73d74c19-8c89-459a-9f2e-a8d3ac42f8af,2026-04-19 03:48:36.930577288+00:00,POST,/collect,HTTP/2.0,fetch_xhr,"Accept,Sec-Ch-Ua-Mobile,Sec-Fetch-Mode,Sec-Fetch-Dest,Content-Type,Referer,Accept-Encoding,Accept-Language,Content-Length,Sec-Ch-Ua-Platform,Sec-Ch-Ua,Origin,Sec-Fetch-Site,Priority,User-Agent",c2274491d66b4223,15,cors,empty,same-origin,,cors|empty|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=4, i",*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v2.html,https://uxbehaviorsuite.com,application/json,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=4, i",4.0,True,True
trial-001,ecc3af80-bb10-4b44-a401-aa7decc2a72a,2026-04-19 03:49:36.631832166+00:00,GET,/s2-scroll-gate.html,HTTP/2.0,navigate,"Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Accept-Encoding,Sec-Ch-Ua-Platform,User-Agent,Sec-Fetch-User,Sec-Fetch-Dest,Accept-Language,Priority,Sec-Ch-Ua,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests",0d5a2e377822e26a,14,navigate,document,same-origin,?1,navigate|document|same-origin,"""Not:A-Brand"";v=""99"", ""Google Chrome"";v=""145"", ""Chromium"";v=""145""",?0,"""Windows""",False,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",chrome,windows,145,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v3.html,,,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=0, i",0.0,True,True
