trace,n_events,n_pages,duration_s,event_rate_hz,n_flushes,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,iei_mean_ms,iei_median_ms,iei_std_ms
trial-001,1525,6,407.98759985351563,3.737858700969191,15,10,20,1326,6,55,267.7083988540129,17.0,2767.8799552948476
trial-002,1137,6,333.3446999511719,3.4108836893658334,16,8,10,997,5,39,293.4372358725104,17.0,2982.5781376330133
trial-003,327,6,351.38310009765627,0.9306082162435253,13,1,0,290,0,9,1077.8622702382092,20.0,8456.349737336574
trial-004,660,3,135.09640014648437,4.8854003458594395,8,4,20,535,0,26,205.0021246532388,17.0,2134.7965521234664
trial-005,9,3,109.75580004882812,0.0820002222752336,6,0,0,0,0,0,13719.475006103516,1.0,25404.43628740452
trial-006,899,6,407.951,2.203696032121505,15,6,0,817,5,26,454.28841870824056,16.9500732421875,4370.0426631744685
trial-007,1835,6,373.70289990234374,4.91031779651569,19,15,72,1426,4,96,203.76384945602166,17.0,1772.4102290735468
trial-008,921,6,411.7997998046875,2.2365236710576863,14,6,0,839,5,28,447.6084780485734,17.900146484375,4587.583997476853
trial-009,84,3,97.60159985351562,0.8606416301174422,7,1,0,69,0,0,1175.922889801393,17.800048828125,7281.439977554747
trial-010,97,6,520.3257001953125,0.1864216969555598,20,6,3,8,1,19,5420.059377034505,1.4000244140625,12221.417207471333
trial-011,292,6,303.3011999511719,0.9627393496860834,18,12,30,44,6,56,1042.2721647806593,0.89990234375,4745.912894092646
trial-012,292,6,298.103,0.9795272103937229,18,12,30,44,6,56,1024.4089347079039,0.7998046875,4588.481224787621
trial-013,296,6,345.8416000976562,0.8558831555151771,18,13,30,47,4,54,1172.3444071106992,1.0,4882.974178713555
trial-014,292,6,290.99719995117186,1.00344608143651,18,12,30,44,6,56,999.9903778390786,0.800048828125,4465.066181706849
trial-015,233,6,312.3967001953125,0.7458465465682794,18,12,20,42,1,38,1346.5375008418641,0.9000244140625,5482.080676242276
trial-016,281,6,335.69980004882814,0.8370573946100893,18,12,30,43,1,51,1198.9278573172433,1.2501220703125,5384.079580136701
trial-017,290,6,301.0235,0.9633799354535443,18,12,30,44,5,55,1041.6038062283737,0.800048828125,4709.498365021886
trial-018,298,6,310.7995,0.9588175013151565,24,12,30,44,6,52,1046.462962962963,0.800048828125,4734.434672538803
trial-019,462,6,487.4045,0.9478779945609859,27,19,50,66,8,89,1057.2765726681127,0.89990234375,4842.053227998362
trial-020,394,6,480.4054001464844,0.8201406559540384,27,17,40,62,6,69,1222.4055983371104,0.800048828125,5239.59904925722
trial-021,232,6,377.89810009765625,0.6139221127072263,18,11,20,40,4,41,1635.9225112452652,1.300048828125,6565.489066751992
trial-022,229,6,273.0055,0.838810939706343,18,11,20,39,3,40,1197.392543859649,0.75,4893.657890829437
trial-023,292,6,291.74519995117186,1.0008733650077903,18,12,30,44,6,56,1002.5608245744738,0.900146484375,4415.3931349896175
trial-024,225,6,271.9331000976562,0.8274093882620333,18,11,20,39,1,38,1213.987054007394,0.800048828125,4909.072852034067
trial-025,281,6,306.5008000488281,0.9168002170148801,18,12,30,43,1,51,1094.6457144601004,0.699951171875,4659.949476121579
trial-026,290,6,409.7986000976563,0.7076646917068338,18,12,30,42,6,56,1417.9882356320286,0.89990234375,8593.356284633785
trial-027,290,6,291.9991999511719,0.9931534060658174,18,12,30,42,6,56,1010.3778545023248,0.900146484375,4450.266875757125
trial-028,438,6,427.5876999511719,1.0243512618581339,27,17,50,61,5,81,978.4615559523384,1.0,4462.093318046858
trial-029,290,6,300.80330004882813,0.964085167792127,18,12,30,44,5,55,1040.8418686810662,0.800048828125,4654.247626497582
trial-030,422,6,373.0032001953125,1.1313575856159725,27,15,50,55,6,78,885.9933496325713,0.900146484375,4292.646638450935
