trace,n_requests,n_pages,n_collect_posts,duration_s,req_rate_hz,iri_mean_ms,iri_median_ms,iri_std_ms,proc_mean_ms,proc_max_ms,page_dwell_mean_s,page_dwell_max_s
trial-001,23,7,15,410.429543,0.05603885098495456,18655.888318181816,337.2845,32056.166606198047,46.58626086956522,246.316,68.32983750000001,101.602295
trial-002,29,7,16,433.026712,0.06697046439943409,15465.239714285713,356.0965,28220.409536470557,22.069827586206895,138.83,68.678095,99.081668
trial-003,24,7,13,434.685193,0.05521237066844372,18899.3562173913,305.342,32177.052242492937,11.826125000000003,160.162,70.54517066666666,103.540488
trial-004,25,6,8,911.801005,0.027418263264581508,37991.70854166667,386.01099999999997,53533.84440878737,11.49616,95.346,122.1133518,203.118806
trial-005,12,4,6,356.732074,0.033638690980166815,32430.188545454548,281.304,54857.46754268131,2.7592499999999998,28.681,60.538300666666665,71.790169
trial-006,28,7,15,493.658388,0.05671938466079503,18283.644,484.716,28147.750599519353,30.106714285714283,367.78,82.19264466666665,112.928074
trial-007,33,9,19,375.574419,0.08786540917207676,11736.70059375,219.851,22746.938954208654,18.170181818181817,177.824,46.9116535,86.382268
trial-008,26,8,14,506.186553,0.05136446206622166,20247.462119999997,333.50800000000004,35278.65566897505,22.956346153846148,110.874,72.267707,113.204648
trial-009,23,6,7,767.335483,0.029973851737024392,34878.88559090909,1057.954,69468.9413702416,4.286434782608695,91.322,153.4599362,533.556803
trial-010,33,9,16,674.467337,0.04892749906434683,21077.104281249998,191.173,31270.937561105653,1.5413030303030304,40.971,76.669332625,94.030833
trial-011,28,7,18,305.42026,0.09167695685937796,11311.861481481481,249.599,22480.844419893238,16.065749999999998,76.114,50.85091883333334,95.35471
trial-012,28,7,18,299.70907,0.0934239327491824,11100.335925925927,205.019,21589.17668323046,6.174392857142857,25.901,49.89969083333333,87.631354
trial-013,27,7,18,348.839528,0.07739948553077965,13416.90492307692,402.58950000000004,24811.659162983215,18.140666666666668,94.328,58.05963400000001,99.297588
trial-014,26,7,18,293.191972,0.08867909930357847,11727.678879999998,312.306,22749.326570348705,15.859884615384617,60.455,48.791449,86.108776
trial-015,27,7,18,314.165122,0.08594206711463025,12083.273923076924,203.835,24352.31594592421,10.448444444444442,59.9,52.32547483333334,101.855944
trial-016,26,7,18,337.933113,0.0769383022846891,13517.32452,256.672,26298.366836251873,9.61476923076923,30.761,56.27939433333333,98.695247
trial-017,26,7,18,304.138227,0.08548744515433768,12165.529079999998,267.529,23391.204670930227,16.342846153846153,72.009,50.629801333333326,86.394423
trial-018,39,12,24,312.67637,0.12472960460683356,8228.325526315792,251.577,15812.912070308834,6.881205128205129,63.322,28.396509636363643,44.252325
trial-019,45,10,27,515.685654,0.0872624624147485,11720.1285,256.063,23108.7739074659,7.387311111111111,39.711,54.356652,101.524957
trial-020,42,10,27,494.262107,0.08497515671376361,12055.173341463415,206.93200000000002,22044.360685909873,7.829690476190477,24.133,54.89401955555555,153.449033
trial-021,26,7,18,382.993728,0.06788622919694393,15319.74912,334.386,29545.502038582275,32.08357692307692,326.85,63.742941,106.416058
trial-022,26,7,18,275.33494,0.09443044170129661,11013.3976,263.69,21501.37292773616,19.081192307692305,103.695,45.83179833333333,81.543152
trial-023,26,7,18,294.121594,0.08839881372327936,11764.86376,365.60900000000004,22810.020158211748,24.539615384615384,211.631,48.955752,86.961322
trial-024,26,7,18,274.276098,0.0947949901197734,10971.043920000002,292.39300000000003,21232.442614449334,10.255153846153844,51.35,45.6596605,79.364748
trial-025,26,7,18,311.039013,0.08359080023186673,12441.560519999999,252.86599999999999,23894.346500751468,13.577346153846152,81.109,51.70337533333333,86.201027
trial-026,27,7,18,412.170049,0.06550694322769678,15852.694192307692,371.11850000000004,34654.836440871455,19.828962962962965,82.486,68.63068016666666,144.452465
trial-027,26,7,18,295.300438,0.08804592426645842,11812.017520000001,264.952,22994.67228459418,27.336,210.039,49.16272366666666,87.955328
trial-028,38,10,27,430.064994,0.08835873770279475,11623.378216216217,327.858,21772.262100069423,17.908210526315784,108.264,47.745662888888894,87.262494
trial-029,35,7,18,302.835271,0.11557438433253042,8906.919735294117,99.7365,17340.733270267738,12.027485714285714,150.313,50.42577633333334,90.666496
trial-030,39,10,27,375.098246,0.10397276024585836,9871.006473684212,270.164,17377.684193900586,19.571999999999996,81.858,41.646185,46.199389
