feature,inter_agent_std,mean_intra_std,discrim_ratio
headless_rate,0.4381,0.0652,6.717
has_connection_rate,0.4056,0.0717,5.659
sf_site_none_rate,0.3777,0.084,4.497
accept_lang_rate,0.4608,0.1208,3.814
has_priority_rate,0.4263,0.131,3.255
has_sec_ch_ua_rate,0.4258,0.132,3.225
sf_violation_rate,0.4169,0.1312,3.178
has_upgrade_ins_rate,0.364,0.1149,3.168
ch_incoherence_rate,0.2558,0.0824,3.106
n_headers_mean,3.4065,1.2358,2.757
has_nonstandard_rate,0.3083,0.1254,2.459
ua_version_n_distinct,0.7306,0.5684,1.285
priority_correct_rate,0.06,0.057,1.054
ua_family_n_distinct,0.3327,0.5028,0.662
n_nonstandard_distinct,1.0305,1.6435,0.627
has_te_rate,0.007,0.0122,0.577
nav_order_stability,0.0268,0.0631,0.424
has_cache_control_rate,0.0285,0.074,0.386
ch_platform_matches_rate,0.0032,0.0088,0.364
ch_mobile_matches_rate,0.0146,0.0404,0.362
has_dnt_rate,0.0,0.0,0.0
ch_brand_matches_rate,0.0,0.0,0.0
nav_order_unique_ratio,0.0,0.0,0.0
