agent_label,n_requests,n_nav,n_sub,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,has_nonstandard_rate,n_nonstandard_distinct,ns_hdr_X-Requested-With,ns_hdr_Pragma,ns_hdr_Cf-Ew-Via,ns_hdr_Keep-Alive,ns_hdr_Accept-Charset,ns_hdr_X-Envoy-Expected-Rq-Timeout-Ms,ns_hdr_X-Forwarded-Proto,ns_hdr_Signature,ns_hdr_From,ns_hdr_Cf-Ray,ns_hdr_Cf-Visitor,ns_hdr_Amp-Cache-Transform,ns_hdr_Cf-Worker,ns_hdr_Sec-Gpc,ns_hdr_X-Request-Id,ns_hdr_Signature-Input,ns_hdr_Cdn-Loop,ns_hdr_Signature-Agent
3,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,7,1,0.1428571428571428,7,11.0,2.6457513110645907,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.8888888888888888,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.0,1,3,122.0,2,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,2,0.1428571428571428,7,11.8,0.6324555320336758,0.7,0.8,0,0.0,0.1,0.9,1.0,2,1.0,0.9,0.9,0.8,0.1,0.1,2,0,147.0,2,2,0.8888888888888888,0.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,147.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2,1,0.5,2,12.75,0.957427107756338,0.25,0.25,1,0.0,0.0,1.0,1.0,3,1.0,0.75,0.75,0.5,0.0,0.25,0,3,145.0,1,2,1.0,0.25,7,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
3,9,7,1,0.1428571428571428,7,11.22222222222222,1.986062547968831,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.0,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.1111111111111111,2,0,147.0,2,2,1.0,0.1111111111111111,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,10,7,2,0.1428571428571428,7,12.8,3.190262963734773,0.1,0.1,1,0.0,0.1,1.0,0.9,3,0.9,0.9,0.9,0.7,0.1,0.0,0,3,145.0,3,1,0.8888888888888888,0.1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
0,8,7,1,0.1428571428571428,7,12.25,0.7071067811865476,0.5,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,7,1,0.1428571428571428,7,11.88888888888889,0.3333333333333333,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.0,1.0,1.0,3,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.0,0.1111111111111111,2,0,147.0,1,2,1.0,0.1111111111111111,7,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
0,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,7,2,0.1428571428571428,7,9.545454545454543,4.227614844416089,0.5454545454545454,0.2727272727272727,0,0.7272727272727273,0.7272727272727273,1.0,1.0,3,0.0,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.0909090909090909,0.0,1,3,122.0,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,147.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,128.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,7,1,0.1428571428571428,7,12.0,0.5345224838248488,0.75,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,7,2,0.1428571428571428,7,15.77777777777778,0.4409585518440983,0.7777777777777778,0.0,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0,1,144.0,1,1,0.8888888888888888,1.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
