# Per-fold metrics
feature_type,fold,accuracy,precision,recall,f1
temporal,1,1.0,1.0,1.0,1.0
temporal,2,1.0,1.0,1.0,1.0
temporal,3,1.0,1.0,1.0,1.0
temporal,4,1.0,1.0,1.0,1.0
temporal,5,1.0,1.0,1.0,1.0
temporal,6,1.0,1.0,1.0,1.0
temporal,7,1.0,1.0,1.0,1.0
temporal,8,1.0,1.0,1.0,1.0
temporal,9,1.0,1.0,1.0,1.0
temporal,10,1.0,1.0,1.0,1.0
temporal,11,1.0,1.0,1.0,1.0
temporal,12,1.0,1.0,1.0,1.0
temporal,13,1.0,1.0,1.0,1.0
temporal,14,1.0,1.0,1.0,1.0
temporal,15,1.0,1.0,1.0,1.0
temporal,16,1.0,1.0,1.0,1.0
temporal,17,1.0,1.0,1.0,1.0
temporal,18,1.0,1.0,1.0,1.0
temporal,19,1.0,1.0,1.0,1.0
temporal,20,1.0,1.0,1.0,1.0
temporal,21,1.0,1.0,1.0,1.0
temporal,22,1.0,1.0,1.0,1.0
temporal,23,1.0,1.0,1.0,1.0
temporal,24,1.0,1.0,1.0,1.0
temporal,25,1.0,1.0,1.0,1.0
temporal,26,1.0,1.0,1.0,1.0
temporal,27,1.0,1.0,1.0,1.0
temporal,28,1.0,1.0,1.0,1.0
temporal,29,1.0,1.0,1.0,1.0
temporal,30,1.0,1.0,1.0,1.0
http,1,0.7,0.6,0.7,0.6333
http,2,0.9,0.85,0.9,0.8667
http,3,0.8,0.8,0.8,0.8
http,4,0.8,0.7,0.8,0.7333
http,5,0.8,0.7,0.8,0.7333
http,6,0.8,0.7,0.8,0.7333
http,7,0.7,0.55,0.7,0.6
http,8,0.9,0.85,0.9,0.8667
http,9,0.7,0.65,0.7,0.6667
http,10,0.7,0.6,0.7,0.6333
http,11,0.6,0.55,0.6,0.5667
http,12,0.8,0.7,0.8,0.7333
http,13,0.7,0.6,0.7,0.6333
http,14,0.9,0.85,0.9,0.8667
http,15,0.8,0.7,0.8,0.7333
http,16,0.9,0.85,0.9,0.8667
http,17,1.0,1.0,1.0,1.0
http,18,0.8,0.7,0.8,0.7333
http,19,0.9,0.85,0.9,0.8667
http,20,0.8,0.7,0.8,0.7333
http,21,0.8,0.8,0.8,0.8
http,22,0.9,0.85,0.9,0.8667
http,23,0.8,0.8,0.8,0.8
http,24,0.9,0.85,0.9,0.8667
http,25,0.9,0.85,0.9,0.8667
http,26,0.9,0.85,0.9,0.8667
http,27,0.9,0.85,0.9,0.8667
http,28,0.8,0.7,0.8,0.7333
http,29,0.8,0.7,0.8,0.7333
http,30,0.9,0.85,0.9,0.8667
tls,1,0.6,0.55,0.6,0.5667
tls,2,0.9,0.85,0.9,0.8667
tls,3,0.8,0.75,0.8,0.7667
tls,4,0.8,0.7,0.8,0.7333
tls,5,0.8,0.7,0.8,0.7333
tls,6,0.8,0.7,0.8,0.7333
tls,7,0.7,0.6,0.7,0.6333
tls,8,0.8,0.7,0.8,0.7333
tls,9,0.7,0.6,0.7,0.6333
tls,10,0.7,0.5833,0.7,0.6167
tls,11,0.7,0.5833,0.7,0.6167
tls,12,0.8,0.7,0.8,0.7333
tls,13,0.7,0.5833,0.7,0.6167
tls,14,0.8,0.7333,0.8,0.75
tls,15,0.6,0.5,0.6,0.5333
tls,16,0.6,0.6,0.6,0.6
tls,17,0.7,0.6,0.7,0.6333
tls,18,0.6,0.4833,0.6,0.5167
tls,19,0.8,0.75,0.8,0.7667
tls,20,0.7,0.5833,0.7,0.6167
tls,21,0.7,0.65,0.7,0.6667
tls,22,0.8,0.7,0.8,0.7333
tls,23,0.8,0.75,0.8,0.7667
tls,24,0.8,0.7333,0.8,0.75
tls,25,0.7,0.7,0.7,0.7
tls,26,0.8,0.7,0.8,0.7333
tls,27,0.8,0.7333,0.8,0.75
tls,28,0.8,0.75,0.8,0.7667
tls,29,0.8,0.7,0.8,0.7333
tls,30,0.8,0.75,0.8,0.7667
behavioral,1,0.7143,0.6429,0.7143,0.6667
behavioral,2,1.0,1.0,1.0,1.0
behavioral,3,0.8571,0.7857,0.8571,0.8095
behavioral,4,0.8571,0.7857,0.8571,0.8095
behavioral,5,0.7143,0.5714,0.7143,0.619
behavioral,6,1.0,1.0,1.0,1.0
behavioral,7,0.5714,0.5,0.5714,0.5238
behavioral,8,1.0,1.0,1.0,1.0
behavioral,9,0.8571,0.7857,0.8571,0.8095
behavioral,10,0.7143,0.5714,0.7143,0.619
behavioral,11,1.0,1.0,1.0,1.0
behavioral,12,0.8571,0.7857,0.8571,0.8095
behavioral,13,1.0,1.0,1.0,1.0
behavioral,14,0.8571,0.7857,0.8571,0.8095
behavioral,15,0.5714,0.5,0.5714,0.5238
behavioral,16,0.8571,0.7857,0.8571,0.8095
behavioral,17,1.0,1.0,1.0,1.0
behavioral,18,0.7143,0.7143,0.7143,0.7143
behavioral,19,0.8571,0.7857,0.8571,0.8095
behavioral,20,0.8571,0.7857,0.8571,0.8095
behavioral,21,1.0,1.0,1.0,1.0
behavioral,22,0.8571,0.7857,0.8571,0.8095
behavioral,23,0.8571,0.7857,0.8571,0.8095
behavioral,24,1.0,1.0,1.0,1.0
behavioral,25,1.0,1.0,1.0,1.0
behavioral,26,1.0,1.0,1.0,1.0
behavioral,27,0.8571,0.7857,0.8571,0.8095
behavioral,28,1.0,1.0,1.0,1.0
behavioral,29,1.0,1.0,1.0,1.0
behavioral,30,0.8571,0.7857,0.8571,0.8095
combined,1,0.8571,0.7857,0.8571,0.8095
combined,2,1.0,1.0,1.0,1.0
combined,3,1.0,1.0,1.0,1.0
combined,4,1.0,1.0,1.0,1.0
combined,5,1.0,1.0,1.0,1.0
combined,6,1.0,1.0,1.0,1.0
combined,7,1.0,1.0,1.0,1.0
combined,8,1.0,1.0,1.0,1.0
combined,9,1.0,1.0,1.0,1.0
combined,10,0.7143,0.5714,0.7143,0.619
combined,11,0.8571,0.7857,0.8571,0.8095
combined,12,0.8571,0.7857,0.8571,0.8095
combined,13,1.0,1.0,1.0,1.0
combined,14,1.0,1.0,1.0,1.0
combined,15,0.8571,0.7857,0.8571,0.8095
combined,16,1.0,1.0,1.0,1.0
combined,17,1.0,1.0,1.0,1.0
combined,18,1.0,1.0,1.0,1.0
combined,19,1.0,1.0,1.0,1.0
combined,20,1.0,1.0,1.0,1.0
combined,21,1.0,1.0,1.0,1.0
combined,22,1.0,1.0,1.0,1.0
combined,23,1.0,1.0,1.0,1.0
combined,24,1.0,1.0,1.0,1.0
combined,25,1.0,1.0,1.0,1.0
combined,26,1.0,1.0,1.0,1.0
combined,27,1.0,1.0,1.0,1.0
combined,28,1.0,1.0,1.0,1.0
combined,29,1.0,1.0,1.0,1.0
combined,30,1.0,1.0,1.0,1.0

# Summary metrics
feature_type,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
temporal,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
http,0.82,0.087,0.753,0.109,0.82,0.087,0.776,0.101
tls,0.747,0.076,0.667,0.084,0.747,0.076,0.692,0.081
behavioral,0.876,0.126,0.831,0.16,0.876,0.126,0.846,0.148
combined,0.971,0.068,0.957,0.102,0.971,0.068,0.962,0.091
