trace,request_id,timestamp,method,path,protocol,req_type,header_order_str,header_order_hash,n_headers,sf_mode,sf_dest,sf_site,sf_user,sf_combo,ch_ua,ch_mobile,ch_platform,ch_is_headless,ch_brand_count,ua,ua_family,ua_os,ua_version,priority,accept,accept_encoding,referer,origin,content_type,upgrade_insecure,has_accept,has_accept_encoding,has_accept_language,has_user_agent,has_sec_ch_ua,has_sec_ch_ua_mobile,has_sec_ch_ua_platform,has_sec_fetch_mode,has_sec_fetch_dest,has_sec_fetch_site,has_sec_fetch_user,has_priority,has_upgrade_insecure_requests,has_referer,has_origin,has_content_type,has_content_length,has_cache_control,has_connection,has_te,has_dnt,sf_sf_known_combo,sf_sf_site_valid,sf_sf_user_correct,sf_sf_nav_has_user,sf_sf_no_user_on_non_nav,sf_sf_cors_dest_empty,sf_sf_any_violation,ch_brand_matches_ua,ch_version_near_ua,ch_mobile_matches_ua,ch_platform_matches_ua,ch_any_incoherence,priority_raw,priority_urgency,priority_incr,priority_expected
trial-001,5533e299-8858-4e8f-a5a3-a65efcb48304,2026-04-19 02:01:17.533243717+00:00,GET,/subscribe-v1.html,HTTP/2.0,navigate,"Sec-Ch-Ua,Sec-Ch-Ua-Platform,Sec-Fetch-Site,Sec-Fetch-Dest,Accept-Encoding,Priority,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests,User-Agent,Accept,Sec-Fetch-Mode,Accept-Language",1d27ab694df8e409,12,navigate,document,none,,navigate|document|none,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,c346d6f1-0f55-408e-967e-2c6bab11ac50,2026-04-19 02:01:17.590712351+00:00,GET,/logger.js,HTTP/2.0,subresource:script,"Sec-Fetch-Dest,Priority,Sec-Ch-Ua,Accept,Sec-Fetch-Site,Sec-Fetch-Mode,Referer,Accept-Encoding,Accept-Language,Sec-Ch-Ua-Mobile,User-Agent,Sec-Ch-Ua-Platform",321fe062c6f14f52,12,no-cors,script,same-origin,,no-cors|script|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,u=1,*/*,"gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,u=1,1.0,False,True
trial-001,17d04deb-6f9a-4308-a15c-7e47ca466931,2026-04-19 02:01:17.835372217+00:00,GET,/favicon.ico,HTTP/2.0,subresource:image,"User-Agent,Accept,Sec-Fetch-Site,Sec-Fetch-Dest,Sec-Ch-Ua,Sec-Ch-Ua-Platform,Sec-Fetch-Mode,Referer,Accept-Encoding,Accept-Language,Priority,Sec-Ch-Ua-Mobile",6bc1e9ddee33bcb2,12,no-cors,image,same-origin,,no-cors|image|same-origin,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=1, i","image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","gzip, deflate, br, zstd",https://uxbehaviorsuite.com/subscribe-v1.html,,,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,"u=1, i",1.0,True,False
trial-001,8066042c-1d43-4592-8bc7-00694affe450,2026-04-19 02:01:30.517020087+00:00,GET,/,HTTP/1.1,other,"Accept-Encoding,User-Agent,Accept",b07f58a11553746d,3,,,,,||,,,,False,0,HTTP Banner Detection (https://security.ipip.net),other,other,,,*/*,identity,,,,,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,,,
trial-001,af73ee47-c1f1-462c-8443-4251f682d9bd,2026-04-19 02:01:31.037354819+00:00,GET,/,HTTP/1.1,other,"Accept-Encoding,User-Agent,Accept",b07f58a11553746d,3,,,,,||,,,,False,0,HTTP Banner Detection (https://security.ipip.net),other,other,,,*/*,identity,,,,,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,,,,
trial-001,4c7e52a3-b4a0-4b73-bbd6-ef5296068e10,2026-04-19 02:01:36.425558580+00:00,GET,/subscribe-v2.html,HTTP/2.0,navigate,"User-Agent,Sec-Fetch-Site,Sec-Fetch-Dest,Priority,Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests,Accept,Sec-Fetch-Mode,Accept-Encoding,Accept-Language,Sec-Ch-Ua",b09c0623f4f20c3f,12,navigate,document,none,,navigate|document|none,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,cdac5616-31b8-4ff8-856f-f96c9fe0046b,2026-04-19 02:01:57.272748478+00:00,GET,/subscribe-v3.html,HTTP/2.0,navigate,"Sec-Ch-Ua,Upgrade-Insecure-Requests,Sec-Fetch-Site,Accept-Encoding,Priority,Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,User-Agent,Accept,Sec-Fetch-Mode,Sec-Fetch-Dest,Accept-Language",073fa02531293564,12,navigate,document,none,,navigate|document|none,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,ac13677f-0b6e-4318-b08e-d14e9764386b,2026-04-19 02:02:15.147623343+00:00,GET,/s2-scroll-gate.html,HTTP/2.0,navigate,"Sec-Fetch-Site,Priority,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests,User-Agent,Sec-Fetch-Mode,Sec-Fetch-Dest,Accept-Encoding,Accept-Language,Sec-Ch-Ua,Sec-Ch-Ua-Platform,Accept",b32479e492502d02,12,navigate,document,none,,navigate|document|none,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,"u=0, i",0.0,True,True
trial-001,50c3fe13-b49c-4287-9684-05a97f989624,2026-04-19 02:02:30.762890626+00:00,GET,/s3-hover-reveal.html,HTTP/2.0,navigate,"Sec-Ch-Ua-Mobile,Sec-Ch-Ua-Platform,Upgrade-Insecure-Requests,Accept,Sec-Fetch-Site,Sec-Fetch-Dest,Accept-Language,Priority,Sec-Ch-Ua,User-Agent,Sec-Fetch-Mode,Accept-Encoding",e1ef4c87469bc69f,12,navigate,document,none,,navigate|document|none,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,"u=0, i",0.0,True,True
rial-001,f9ac8280-a068-408f-bcf0-22e958246ca7,2026-04-19 02:02:47.910660065+00:00,GET,/s4-dom-mismatch.html,HTTP/2.0,navigate,"Sec-Ch-Ua-Platform,Accept,Priority,Sec-Ch-Ua-Mobile,Upgrade-Insecure-Requests,User-Agent,Sec-Fetch-Site,Sec-Fetch-Mode,Sec-Fetch-Dest,Accept-Encoding,Accept-Language,Sec-Ch-Ua",9ff6f0482f77f27e,12,navigate,document,none,,navigate|document|none,"""Not;A=Brand"";v=""24"", ""Chromium"";v=""128""",?0,"""Linux""",False,2,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/128.0.0.0 Safari/537.36",headless-chrome,linux,128,"u=0, i","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd",,,,1,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,"u=0, i",0.0,True,True
